# Station Code,owno
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PPMT,SGRN,WGRN
03/10,,,,,,,0.02
03/11,,,,,,,0.03
03/12,,,,,,,0.07
03/13,,,,,,,0.03
03/14,,,,,,,0.04
03/15,,,0.02,0.04,,,0.05
03/16,,,0.02,0.03,,,0.04
03/17,,,0.03,0.04,,,0.06
03/18,,,0.02,0.04,,,0.05
03/19,,,0.02,0.02,,,0.03
03/20,0.02,0.02,0.02,0.03,,,0.04
03/21,0.01,0.01,0.02,0.02,,,0.03
03/22,0.02,0.02,0.04,0.04,,,0.04
03/23,0.04,0.04,0.1,0.08,,,0.08
03/24,0.03,0.03,0.07,0.05,,,0.055
03/25,0.04,0.04,0.055,0.05,,,0.07
03/26,0.03,0.03,0.05,0.04,,,0.065
03/27,0.03,0.03,0.055,0.05,,,0.075
03/28,0.03,0.03,0.065,0.07,,,0.105
03/29,0.04,0.04,0.055,0.05,,,0.07
03/30,0.04,0.04,0.055,0.045,,,0.07
03/31,0.05,0.05,0.07,0.06,,,0.095
04/01,0.055,0.055,0.1,0.08,,,0.087
04/02,0.06,0.06,0.12,0.09,,,0.097
04/03,0.065,0.065,0.125,0.085,,,0.1
04/04,0.08,0.08,0.145,0.095,,,0.11
04/05,0.055,0.055,0.07,0.05,,,0.077
04/06,0.06,0.06,0.077,0.063,,,0.093
04/07,0.12,0.12,0.13,0.093,,,0.143
04/08,0.125,0.125,0.13,0.093,,,0.14
04/09,0.075,0.075,0.097,0.077,,,0.113
04/10,0.06,0.06,0.107,0.087,,0.02,0.123
04/11,0.04,0.04,0.07,0.05,,0.01,0.077
04/12,0.043,0.043,0.073,0.053,,0.02,0.08
04/13,0.047,0.047,0.087,0.06,,0.01,0.087
04/14,0.05,0.05,0.083,0.057,,0.01,0.087
04/15,0.067,0.067,0.113,0.08,,0.025,0.117
04/16,0.083,0.083,0.133,0.093,,0.035,0.143
04/17,0.067,0.067,0.097,0.067,,0.03,0.1
04/18,0.143,0.143,0.183,0.137,,0.06,0.193
04/19,0.077,0.077,0.103,0.077,,0.035,0.11
04/20,0.073,0.073,0.093,0.07,,0.03,0.1
04/21,0.093,0.093,0.123,0.087,,0.03,0.127
04/22,0.107,0.107,0.133,0.1,,0.045,0.143
04/23,0.113,0.117,0.137,0.107,,0.045,0.15
04/24,0.11,0.113,0.13,0.097,,0.04,0.137
04/25,0.117,0.12,0.13,0.103,,0.043,0.147
04/26,0.097,0.1,0.113,0.08,,0.037,0.12
04/27,0.137,0.143,0.157,0.12,,0.057,0.17
04/28,0.13,0.133,0.153,0.113,,0.05,0.167
04/29,0.18,0.183,0.203,0.16,,0.067,0.227
04/30,0.163,0.167,0.18,0.14,,0.06,0.203
05/01,0.133,0.14,0.143,0.113,0.02,0.057,0.16
05/02,0.147,0.153,0.157,0.123,0.025,0.067,0.177
05/03,0.193,0.203,0.203,0.163,0.03,0.093,0.233
05/04,0.163,0.177,0.167,0.133,0.03,0.09,0.193
05/05,0.153,0.167,0.15,0.127,0.045,0.097,0.183
05/06,0.217,0.233,0.213,0.177,0.06,0.14,0.257
05/07,0.113,0.123,0.113,0.09,0.025,0.073,0.137
05/08,0.113,0.12,0.107,0.09,0.025,0.073,0.133
05/09,0.103,0.11,0.1,0.083,0.02,0.067,0.12
05/10,0.13,0.14,0.12,0.103,0.025,0.083,0.15
05/11,0.16,0.177,0.153,0.127,0.035,0.117,0.187
05/12,0.19,0.21,0.18,0.15,0.04,0.14,0.22
05/13,0.207,0.237,0.197,0.167,0.045,0.163,0.243
05/14,0.16,0.183,0.15,0.13,0.04,0.14,0.187
05/15,0.207,0.24,0.193,0.163,0.05,0.19,0.243
05/16,0.2,0.233,0.19,0.16,0.05,0.183,0.237
05/17,0.23,0.267,0.217,0.183,0.053,0.217,0.27
05/18,0.23,0.267,0.217,0.183,0.06,0.223,0.27
05/19,0.163,0.193,0.153,0.133,0.043,0.153,0.193
05/20,0.173,0.203,0.163,0.14,0.043,0.163,0.203
05/21,0.135,0.16,0.128,0.107,0.037,0.138,0.16
05/22,0.13,0.155,0.122,0.105,0.037,0.138,0.155
05/23,0.165,0.193,0.152,0.133,0.05,0.175,0.193
05/24,0.18,0.21,0.17,0.143,0.058,0.193,0.21
05/25,0.158,0.185,0.15,0.125,0.055,0.172,0.185
05/26,0.165,0.198,0.158,0.135,0.062,0.188,0.198
05/27,0.168,0.198,0.155,0.135,0.062,0.188,0.198
05/28,0.185,0.217,0.175,0.15,0.072,0.207,0.217
05/29,0.188,0.22,0.18,0.147,0.073,0.21,0.22
05/30,0.208,0.242,0.193,0.165,0.083,0.232,0.242
05/31,0.165,0.195,0.155,0.135,0.07,0.19,0.195
06/01,0.17,0.2,0.16,0.138,0.077,0.198,0.2
06/02,0.19,0.228,0.182,0.155,0.095,0.225,0.228
06/03,0.203,0.237,0.19,0.16,0.1,0.235,0.237
06/04,0.193,0.23,0.185,0.155,0.095,0.228,0.23
06/05,0.232,0.273,0.218,0.185,0.12,0.27,0.273
