# Station Code,paro
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR,WGRP
03/02,0.0,0.0,,,,0.003,0.01,,
03/03,0.01,0.01,,,,0.01,0.013,,
03/04,0.0,0.0,,,,0.007,0.017,,
03/05,0.01,0.01,,,,0.012,0.018,,
03/06,0.017,0.017,,,,0.016,0.024,,
03/07,0.013,0.013,,,,0.02,0.024,,
03/08,0.013,0.013,,,,0.018,0.02,,
03/09,0.017,0.017,,,,0.026,0.022,,
03/10,0.016,0.016,,,,0.028,0.024,,
03/11,0.013,0.013,,,,0.032,0.026,,
03/12,0.015,0.015,,,,0.034,0.028,,
03/13,0.013,0.013,,,,0.028,0.016,,
03/14,0.017,0.017,,,,0.032,0.022,,
03/15,0.023,0.023,,,,0.034,0.023,,
03/16,0.025,0.025,,,,0.029,0.026,,
03/17,0.023,0.023,,,,0.025,0.024,,
03/18,0.027,0.027,,,,0.028,0.026,,
03/19,0.032,0.032,,,,0.031,0.026,,
03/20,0.021,0.021,,,,0.03,0.025,,
03/21,0.023,0.023,,,,0.035,0.026,,
03/22,0.025,0.025,,,,0.041,0.031,,
03/23,0.025,0.025,,,,0.044,0.034,,
03/24,0.03,0.03,,,,0.049,0.034,,
03/25,0.028,0.028,,,,0.039,0.029,,
03/26,0.029,0.029,,,,0.042,0.03,,
03/27,0.033,0.033,,,,0.045,0.033,,
03/28,0.038,0.038,,,,0.052,0.037,,
03/29,0.044,0.044,,,,0.054,0.041,,
03/30,0.05,0.05,,,,0.059,0.043,,
03/31,0.054,0.054,,,,0.066,0.048,,
04/01,0.052,0.052,,0.02,,0.065,0.048,0.01,
04/02,0.059,0.059,,0.02,,0.074,0.052,0.01,0.02
04/03,0.058,0.058,,0.02,,0.071,0.05,0.02,0.01
04/04,0.045,0.045,,0.01,,0.057,0.039,0.02,0.02
04/05,0.049,0.049,,0.02,,0.058,0.042,0.02,0.01
04/06,0.062,0.063,,0.02,,0.072,0.049,0.02,0.01
04/07,0.072,0.074,,0.03,,0.08,0.058,0.03,0.01
04/08,0.078,0.08,,0.03,,0.086,0.064,0.02,0.02
04/09,0.083,0.085,,0.02,,0.092,0.066,0.023,0.02
04/10,0.08,0.082,0.01,0.015,0.07,0.087,0.066,0.02,0.02
04/11,0.079,0.082,0.01,0.025,0.07,0.084,0.064,0.02,0.02
04/12,0.079,0.082,0.02,0.03,0.05,0.085,0.064,0.018,0.02
04/13,0.083,0.088,0.01,0.02,0.04,0.092,0.068,0.018,0.02
04/14,0.092,0.096,0.02,0.025,0.035,0.097,0.075,0.018,0.02
04/15,0.085,0.088,0.025,0.018,0.055,0.087,0.069,0.025,0.03
04/16,0.088,0.093,0.02,0.023,0.06,0.089,0.071,0.022,0.03
04/17,0.102,0.11,0.03,0.035,0.085,0.101,0.082,0.028,0.04
04/18,0.112,0.119,0.025,0.042,0.095,0.111,0.09,0.03,0.04
04/19,0.102,0.11,0.025,0.04,0.095,0.102,0.08,0.025,0.04
04/20,0.115,0.124,0.03,0.036,0.087,0.112,0.091,0.028,0.027
04/21,0.122,0.132,0.03,0.046,0.08,0.118,0.097,0.03,0.027
04/22,0.118,0.128,0.03,0.047,0.073,0.116,0.095,0.03,0.027
04/23,0.115,0.125,0.035,0.05,0.07,0.11,0.092,0.028,0.03
04/24,0.112,0.123,0.035,0.049,0.063,0.107,0.088,0.025,0.023
04/25,0.113,0.125,0.035,0.044,0.062,0.107,0.089,0.033,0.022
04/26,0.132,0.145,0.035,0.054,0.067,0.125,0.104,0.035,0.027
04/27,0.125,0.141,0.04,0.055,0.07,0.12,0.1,0.037,0.026
04/28,0.135,0.152,0.035,0.062,0.075,0.129,0.108,0.038,0.03
04/29,0.137,0.155,0.035,0.066,0.077,0.128,0.109,0.04,0.03
04/30,0.141,0.162,0.036,0.072,0.087,0.133,0.113,0.037,0.031
05/01,0.138,0.162,0.037,0.077,0.08,0.131,0.11,0.037,0.032
05/02,0.136,0.158,0.04,0.079,0.085,0.128,0.108,0.037,0.032
05/03,0.142,0.165,0.045,0.095,0.082,0.133,0.114,0.037,0.036
05/04,0.142,0.166,0.044,0.098,0.089,0.132,0.114,0.04,0.037
05/05,0.127,0.146,0.033,0.078,0.073,0.118,0.1,0.033,0.031
05/06,0.138,0.162,0.041,0.094,0.088,0.129,0.112,0.038,0.037
05/07,0.152,0.178,0.048,0.108,0.1,0.144,0.122,0.043,0.039
05/08,0.144,0.168,0.049,0.111,0.093,0.134,0.115,0.039,0.038
05/09,0.166,0.195,0.062,0.135,0.112,0.156,0.132,0.048,0.048
05/10,0.164,0.192,0.057,0.122,0.11,0.154,0.13,0.047,0.048
05/11,0.15,0.177,0.055,0.119,0.105,0.142,0.122,0.045,0.045
05/12,0.157,0.184,0.06,0.128,0.115,0.146,0.125,0.051,0.049
05/13,0.16,0.187,0.065,0.133,0.121,0.15,0.128,0.052,0.054
05/14,0.152,0.179,0.066,0.132,0.119,0.142,0.122,0.05,0.053
05/15,0.128,0.151,0.058,0.11,0.102,0.121,0.102,0.041,0.047
05/16,0.143,0.168,0.072,0.13,0.119,0.134,0.114,0.051,0.057
05/17,0.153,0.18,0.078,0.141,0.131,0.144,0.123,0.054,0.063
05/18,0.145,0.171,0.08,0.14,0.128,0.137,0.118,0.052,0.063
05/19,0.137,0.161,0.079,0.134,0.125,0.128,0.109,0.052,0.062
05/20,0.149,0.174,0.089,0.149,0.14,0.14,0.118,0.058,0.074
05/21,0.132,0.153,0.084,0.132,0.125,0.124,0.106,0.052,0.068
05/22,0.138,0.163,0.094,0.144,0.135,0.13,0.11,0.056,0.072
05/23,0.151,0.178,0.108,0.162,0.153,0.142,0.121,0.065,0.083
05/24,0.149,0.176,0.111,0.158,0.155,0.141,0.12,0.064,0.087
05/25,0.135,0.158,0.104,0.14,0.142,0.126,0.108,0.062,0.079
05/26,0.152,0.178,0.121,0.161,0.166,0.142,0.123,0.068,0.093
05/27,0.152,0.178,0.125,0.164,0.165,0.144,0.122,0.072,0.093
05/28,0.168,0.198,0.144,0.187,0.189,0.158,0.135,0.08,0.112
05/29,0.168,0.198,0.146,0.186,0.191,0.16,0.136,0.085,0.112
05/30,0.162,0.191,0.146,0.179,0.186,0.153,0.129,0.085,0.112
05/31,0.173,0.203,0.162,0.194,0.202,0.161,0.138,0.095,0.124
06/01,0.184,0.215,0.175,0.208,0.217,0.173,0.148,0.102,0.133
06/02,0.18,0.212,0.175,0.205,0.215,0.168,0.145,0.101,0.135
06/03,0.191,0.224,0.19,0.218,0.228,0.179,0.152,0.109,0.146
06/04,0.19,0.222,0.195,0.218,0.227,0.178,0.152,0.114,0.152
06/05,0.181,0.212,0.188,0.208,0.218,0.17,0.145,0.115,0.138
06/06,0.187,0.219,0.196,0.218,0.226,0.176,0.15,0.123,0.141
06/07,0.178,0.21,0.189,0.21,0.218,0.169,0.144,0.118,0.142
06/08,0.166,0.196,0.178,0.196,0.204,0.158,0.135,0.115,0.131
06/09,0.155,0.182,0.165,0.182,0.187,0.146,0.124,0.105,0.121
06/10,0.175,0.205,0.189,0.205,0.212,0.165,0.139,0.121,0.132
06/11,0.177,0.207,0.193,0.207,0.215,0.165,0.14,0.125,0.133
06/12,0.172,0.201,0.188,0.201,0.208,0.16,0.137,0.126,0.133
06/13,0.164,0.192,0.179,0.192,0.202,0.153,0.132,0.123,0.122
06/14,0.175,0.207,0.195,0.207,0.215,0.167,0.14,0.132,0.132
06/15,0.165,0.193,0.184,0.193,0.201,0.155,0.131,0.128,0.123
06/16,0.179,0.208,0.198,0.208,0.218,0.167,0.142,0.141,0.133
06/17,0.189,0.222,0.212,0.222,0.23,0.177,0.152,0.15,0.142
