# Station Code,pcyo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST
03/06,,,,0.027
03/07,,,,0.023
03/08,,,,0.03
03/09,,,,0.027
03/10,,,,0.03
03/11,,,,0.023
03/12,,,,0.03
03/13,,,,0.037
03/14,,,,0.03
03/15,,,,0.04
03/16,,,,0.03
03/17,,,,0.033
03/18,,,,0.033
03/19,,,,0.047
03/20,0.02,0.02,,0.047
03/21,0.013,0.013,,0.04
03/22,0.013,0.013,,0.03
03/23,0.017,0.017,,0.037
03/24,0.023,0.023,,0.05
03/25,0.013,0.013,,0.04
03/26,0.02,0.02,,0.036
03/27,0.027,0.027,,0.038
03/28,0.033,0.033,,0.044
03/29,0.037,0.037,,0.048
03/30,0.047,0.047,,0.054
03/31,0.043,0.043,,0.046
04/01,0.026,0.026,0.014,0.036
04/02,0.042,0.042,0.02,0.056
04/03,0.044,0.044,0.022,0.06
04/04,0.046,0.046,0.024,0.056
04/05,0.04,0.04,0.02,0.045
04/06,0.062,0.062,0.037,0.061
04/07,0.076,0.076,0.053,0.071
04/08,0.082,0.082,0.063,0.076
04/09,0.078,0.078,0.065,0.07
04/10,0.073,0.073,0.058,0.065
04/11,0.07,0.07,0.043,0.051
04/12,0.058,0.058,0.041,0.047
04/13,0.077,0.077,0.047,0.053
04/14,0.058,0.058,0.045,0.046
04/15,0.046,0.046,0.053,0.053
04/16,0.049,0.049,0.06,0.055
04/17,0.058,0.058,0.077,0.066
04/18,0.069,0.069,0.095,0.077
04/19,0.071,0.071,0.093,0.074
04/20,0.067,0.067,0.085,0.068
04/21,0.081,0.081,0.105,0.082
04/22,0.069,0.069,0.095,0.073
04/23,0.067,0.068,0.092,0.069
04/24,0.071,0.072,0.095,0.068
04/25,0.068,0.069,0.092,0.066
04/26,0.078,0.079,0.097,0.075
04/27,0.092,0.093,0.12,0.089
04/28,0.088,0.092,0.112,0.082
04/29,0.088,0.091,0.117,0.084
04/30,0.095,0.1,0.117,0.088
05/01,0.105,0.112,0.121,0.092
05/02,0.122,0.13,0.14,0.106
05/03,0.128,0.136,0.148,0.112
05/04,0.13,0.137,0.146,0.112
05/05,0.123,0.128,0.138,0.107
05/06,0.115,0.12,0.128,0.098
05/07,0.121,0.127,0.134,0.105
05/08,0.141,0.15,0.151,0.119
05/09,0.127,0.135,0.137,0.108
05/10,0.139,0.148,0.149,0.116
05/11,0.146,0.155,0.152,0.122
05/12,0.143,0.155,0.149,0.118
05/13,0.154,0.165,0.159,0.128
05/14,0.146,0.156,0.149,0.122
05/15,0.135,0.143,0.135,0.11
05/16,0.128,0.138,0.128,0.104
05/17,0.132,0.145,0.129,0.108
05/18,0.145,0.157,0.142,0.117
05/19,0.128,0.138,0.125,0.104
05/20,0.128,0.138,0.122,0.102
05/21,0.123,0.135,0.116,0.097
05/22,0.14,0.154,0.133,0.111
05/23,0.138,0.154,0.13,0.11
05/24,0.156,0.176,0.149,0.125
05/25,0.147,0.167,0.137,0.118
05/26,0.148,0.172,0.14,0.118
05/27,0.148,0.174,0.141,0.118
05/28,0.169,0.195,0.158,0.135
05/29,0.169,0.196,0.159,0.133
05/30,0.171,0.199,0.161,0.136
05/31,0.155,0.182,0.145,0.125
06/01,0.182,0.214,0.172,0.145
06/02,0.17,0.201,0.161,0.137
06/03,0.193,0.227,0.182,0.154
06/04,0.182,0.214,0.171,0.145
06/05,0.187,0.218,0.175,0.148
06/06,0.169,0.198,0.158,0.135
06/07,0.172,0.2,0.159,0.136
06/08,0.169,0.199,0.158,0.136
06/09,0.157,0.184,0.146,0.126
06/10,0.17,0.2,0.161,0.135
06/11,0.168,0.196,0.156,0.135
06/12,0.171,0.202,0.163,0.138
06/13,0.182,0.214,0.172,0.144
06/14,0.191,0.225,0.18,0.153
06/15,0.172,0.202,0.163,0.138
06/16,0.171,0.202,0.162,0.137
06/17,0.181,0.214,0.172,0.146
06/18,0.156,0.182,0.146,0.125
06/19,0.18,0.212,0.168,0.142
06/20,0.201,0.236,0.188,0.161
06/21,0.198,0.232,0.186,0.157
06/22,0.212,0.247,0.196,0.168
06/23,0.213,0.251,0.202,0.171
06/24,0.21,0.248,0.199,0.168
06/25,0.209,0.246,0.198,0.167
06/26,0.201,0.235,0.187,0.158
06/27,0.238,0.28,0.224,0.191
06/28,0.227,0.267,0.214,0.182
06/29,0.214,0.252,0.201,0.172
06/30,0.24,0.283,0.227,0.192
07/01,0.248,0.291,0.233,0.197
07/02,0.255,0.3,0.24,0.204
07/03,0.246,0.288,0.233,0.195
07/04,0.252,0.296,0.238,0.202
07/05,0.255,0.298,0.239,0.203
07/06,0.261,0.306,0.245,0.208
