# Station Code,pici
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,POTA,SGRN
04/06,,,0.018,0.033,,
04/07,,,0.03,0.045,,
04/08,,,0.028,0.045,,
04/09,,,0.033,0.048,,
04/10,0.03,0.03,0.048,0.056,,
04/11,0.03,0.03,0.05,0.053,,
04/12,0.03,0.03,0.052,0.048,,
04/13,0.028,0.028,0.058,0.047,,
04/14,0.033,0.033,0.062,0.048,,
04/15,0.025,0.025,0.065,0.05,,
04/16,0.03,0.03,0.072,0.05,,
04/17,0.043,0.043,0.098,0.068,,
04/18,0.055,0.055,0.122,0.085,,
04/19,0.057,0.057,0.118,0.082,,
04/20,0.065,0.065,0.105,0.077,,
04/21,0.057,0.057,0.082,0.068,,
04/22,0.069,0.069,0.086,0.07,,
04/23,0.073,0.073,0.08,0.065,,
04/24,0.061,0.061,0.071,0.057,,
04/25,0.047,0.047,0.069,0.058,,0.028
04/26,0.062,0.062,0.091,0.07,,0.042
04/27,0.073,0.073,0.108,0.082,,0.043
04/28,0.078,0.078,0.118,0.086,,0.045
04/29,0.078,0.078,0.12,0.089,,0.045
04/30,0.071,0.071,0.109,0.08,,0.037
05/01,0.088,0.088,0.133,0.099,,0.042
05/02,0.102,0.102,0.148,0.107,,0.045
05/03,0.103,0.103,0.143,0.104,,0.048
05/04,0.111,0.111,0.151,0.11,,0.05
05/05,0.122,0.122,0.161,0.115,,0.05
05/06,0.112,0.112,0.147,0.105,,0.045
05/07,0.098,0.098,0.131,0.093,,0.037
05/08,0.107,0.107,0.138,0.098,,0.038
05/09,0.124,0.124,0.148,0.109,,0.047
05/10,0.133,0.134,0.155,0.116,,0.047
05/11,0.146,0.149,0.17,0.125,,0.055
05/12,0.153,0.156,0.172,0.128,,0.056
05/13,0.163,0.165,0.181,0.136,,0.061
05/14,0.161,0.165,0.176,0.136,,0.064
05/15,0.156,0.162,0.172,0.132,,0.058
05/16,0.148,0.155,0.159,0.124,,0.057
05/17,0.147,0.155,0.156,0.122,,0.058
05/18,0.159,0.17,0.164,0.132,,0.067
05/19,0.137,0.145,0.143,0.113,,0.056
05/20,0.13,0.139,0.135,0.108,0.055,0.057
05/21,0.152,0.164,0.155,0.124,0.055,0.069
05/22,0.142,0.152,0.144,0.117,0.045,0.065
05/23,0.158,0.172,0.155,0.128,0.065,0.082
05/24,0.165,0.182,0.162,0.133,0.05,0.088
05/25,0.171,0.187,0.166,0.137,0.073,0.097
05/26,0.168,0.189,0.163,0.135,0.08,0.108
05/27,0.167,0.188,0.161,0.135,0.073,0.111
05/28,0.177,0.197,0.168,0.142,0.077,0.119
05/29,0.186,0.209,0.176,0.147,0.06,0.13
05/30,0.186,0.21,0.177,0.148,0.053,0.134
05/31,0.188,0.213,0.178,0.15,0.057,0.141
06/01,0.199,0.228,0.188,0.157,0.074,0.157
06/02,0.214,0.246,0.2,0.169,0.081,0.176
06/03,0.218,0.254,0.204,0.174,0.09,0.185
06/04,0.232,0.271,0.217,0.185,0.084,0.202
06/05,0.215,0.253,0.205,0.173,0.087,0.197
06/06,0.221,0.258,0.207,0.175,0.087,0.204
06/07,0.212,0.248,0.197,0.169,0.08,0.198
06/08,0.211,0.248,0.2,0.169,0.087,0.205
06/09,0.213,0.252,0.202,0.172,0.101,0.218
06/10,0.216,0.254,0.203,0.173,0.086,0.223
06/11,0.219,0.257,0.206,0.176,0.089,0.227
06/12,0.203,0.239,0.192,0.162,0.089,0.218
06/13,0.245,0.288,0.23,0.195,0.104,0.262
06/14,0.245,0.287,0.229,0.195,0.104,0.263
06/15,0.215,0.255,0.205,0.174,0.093,0.237
06/16,0.221,0.258,0.205,0.175,0.095,0.242
06/17,0.237,0.278,0.222,0.189,0.108,0.265
06/18,0.221,0.259,0.208,0.175,0.102,0.248
06/19,0.245,0.288,0.229,0.196,0.118,0.278
06/20,0.238,0.279,0.223,0.19,0.116,0.269
06/21,0.255,0.298,0.239,0.202,0.128,0.29
06/22,0.258,0.302,0.242,0.205,0.132,0.295
06/23,0.263,0.309,0.246,0.21,0.142,0.303
06/24,0.257,0.302,0.242,0.205,0.143,0.297
06/25,0.244,0.288,0.232,0.197,0.138,0.284
06/26,0.256,0.302,0.242,0.205,0.148,0.296
06/27,0.265,0.312,0.248,0.212,0.158,0.309
06/28,0.268,0.314,0.251,0.211,0.165,0.312
06/29,0.278,0.328,0.264,0.223,0.178,0.327
06/30,0.255,0.301,0.24,0.205,0.167,0.299
07/01,0.288,0.34,0.272,0.232,0.195,0.338
07/02,0.292,0.342,0.272,0.232,0.202,0.34
07/03,0.272,0.319,0.256,0.216,0.192,0.319
07/04,0.282,0.332,0.265,0.225,0.205,0.332
07/05,0.261,0.307,0.247,0.208,0.194,0.307
07/06,0.28,0.33,0.264,0.224,0.214,0.33
07/07,0.282,0.332,0.265,0.225,0.221,0.332
07/08,0.259,0.306,0.245,0.208,0.208,0.306
07/09,0.282,0.332,0.267,0.226,0.231,0.332
07/10,0.27,0.319,0.255,0.215,0.226,0.319
07/11,0.264,0.31,0.248,0.209,0.225,0.31
07/12,0.281,0.332,0.266,0.224,0.245,0.332
07/13,0.28,0.33,0.263,0.223,0.248,0.33
07/14,0.264,0.309,0.248,0.209,0.238,0.309
07/15,0.284,0.334,0.268,0.226,0.261,0.334
07/16,0.268,0.315,0.254,0.215,0.252,0.315
07/17,0.274,0.322,0.258,0.218,0.258,0.322
07/18,0.29,0.342,0.272,0.233,0.279,0.342
07/19,0.288,0.338,0.271,0.229,0.279,0.338
07/20,0.288,0.338,0.272,0.232,0.284,0.338
07/21,0.283,0.332,0.265,0.226,0.281,0.332
07/22,0.282,0.332,0.265,0.225,0.285,0.332
07/23,0.265,0.312,0.248,0.212,0.269,0.312
07/24,0.271,0.318,0.255,0.216,0.281,0.318
07/25,0.27,0.317,0.254,0.215,0.281,0.317
07/26,0.272,0.321,0.255,0.217,0.287,0.321
07/27,0.263,0.31,0.248,0.211,0.276,0.31
07/28,0.252,0.297,0.238,0.201,0.265,0.297
07/29,0.272,0.318,0.254,0.216,0.287,0.318
07/30,0.272,0.318,0.254,0.216,0.288,0.318
07/31,0.262,0.31,0.248,0.212,0.283,0.31
08/01,0.273,0.32,0.256,0.217,0.292,0.317
08/02,0.255,0.299,0.238,0.203,0.275,0.296
08/03,0.257,0.302,0.241,0.206,0.278,0.296
08/04,0.249,0.292,0.232,0.198,0.269,0.271
08/05,0.234,0.275,0.219,0.185,0.255,0.235
08/06,0.227,0.265,0.212,0.179,0.245,0.246
08/07,0.237,0.277,0.221,0.188,0.257,0.253
08/08,0.214,0.25,0.2,0.17,0.232,0.222
08/09,0.246,0.288,0.23,0.195,0.267,0.249
08/10,0.241,0.282,0.225,0.192,0.262,0.233
08/11,0.259,0.306,0.245,0.208,0.285,0.239
08/12,0.245,0.288,0.231,0.195,0.268,0.218
08/13,0.246,0.29,0.234,0.196,0.268,0.208
08/14,0.255,0.301,0.242,0.206,0.281,0.205
08/15,0.262,0.308,0.246,0.208,0.285,0.159
08/16,0.252,0.298,0.239,0.202,0.275,0.208
08/17,0.253,0.298,0.24,0.202,0.275,0.193
08/18,0.24,0.282,0.225,0.191,0.26,0.166
08/19,0.223,0.262,0.21,0.178,0.241,0.139
08/20,0.215,0.252,0.202,0.172,0.232,0.099
08/21,0.212,0.249,0.2,0.168,0.227,0.12
08/22,0.22,0.259,0.207,0.176,0.236,0.112
08/23,0.216,0.255,0.204,0.173,0.232,0.117
08/24,0.222,0.26,0.208,0.176,0.235,0.098
08/25,0.221,0.26,0.209,0.175,0.235,0.022
08/26,0.222,0.259,0.206,0.174,0.232,0.12
08/27,0.226,0.265,0.212,0.178,0.235,0.14
08/28,0.227,0.267,0.212,0.178,0.238,0.12
08/29,0.233,0.274,0.218,0.181,0.243,0.15
08/30,0.235,0.275,0.22,0.182,0.242,0.11
08/31,0.21,0.247,0.197,0.162,0.215,0.08
09/01,0.219,0.258,0.208,0.168,0.223,0.0
09/02,0.214,0.253,0.203,0.165,0.216,
09/03,0.205,0.242,0.194,0.157,0.205,
09/04,0.2,0.235,0.188,0.149,0.198,
09/05,0.203,0.235,0.187,0.152,0.195,
09/06,0.195,0.23,0.184,0.145,0.19,
09/07,0.205,0.241,0.193,0.151,0.197,
09/08,0.204,0.238,0.192,0.15,0.195,
09/09,0.188,0.221,0.175,0.135,0.178,
09/10,0.185,0.216,0.186,0.142,0.185,
09/11,0.201,0.236,0.188,0.142,0.185,
09/12,0.181,0.212,0.168,0.128,0.163,
09/13,0.18,0.21,0.166,0.124,0.157,
09/14,0.155,0.184,0.147,0.108,0.14,
09/15,0.163,0.193,0.152,0.112,0.147,
09/16,0.177,0.208,0.162,0.114,0.152,
09/17,0.164,0.193,0.155,0.105,0.145,
09/18,0.173,0.205,0.161,0.107,0.15,
09/19,0.147,0.172,0.138,0.088,0.123,
09/20,0.151,0.177,0.142,0.085,0.107,
09/21,0.127,0.151,0.121,0.072,0.106,
09/22,0.13,0.152,0.122,0.069,0.107,
09/23,0.141,0.166,0.133,0.073,0.115,
09/24,0.147,0.172,0.138,0.073,0.111,
09/25,0.0,0.0,0.0,0.0,0.095,
09/26,,,,,0.115,
09/27,,,,,0.12,
09/28,,,,,0.097,
09/29,,,,,0.086,
09/30,,,,,0.069,
10/01,,,,,0.067,
10/02,,,,,0.067,
10/03,,,,,0.075,
10/04,,,,,0.06,
10/05,,,,,0.01,
10/06,,,,,0.03,
10/07,,,,,0.03,
10/08,,,,,0.05,
10/09,,,,,0.04,
10/10,,,,,0.0,
