# Station Code,pmai
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,PPMT,SCRN,SGRN,WGRN,WGRP
02/02,,,,,,,,,,,,,,,,0.0,
02/03,,,,,,,,,,,,,,,,0.0,
02/04,,,,,,,,,,,,,,,,0.01,
02/05,,,,,,,,,,,,,,,,0.0,
02/06,,,,,,,,,,,,,,,,0.04,
02/07,,,,,,,,,,,,,,,,0.06,
02/08,,,,,,,,,,,,,,,,0.04,
02/09,,,,,,,,,,,,,,,,0.05,
02/10,,,,,,,,,,,,,,,,0.03,
02/11,,,,,,,,,,,,,,,,0.02,
02/12,,,,,,,,,,,,,,,,0.02,
02/13,,,,,,,,,,,,,,,,0.02,
02/14,,,,,,,,,,,,,,,,0.04,
02/15,0.02,0.02,,,,,0.02,,0.03,,,,,,,0.06,
02/16,0.01,0.01,,,,,0.01,,0.02,,,,,,,0.03,
02/17,0.01,0.01,,,,,0.01,,0.02,,,,,,,0.02,
02/18,0.01,0.01,,,,,0.01,,0.02,,,,,,,0.025,
02/19,0.01,0.01,,,,,0.02,,0.02,,,,,,,0.035,
02/20,0.02,0.02,,,,,0.03,,0.04,,,,,,,0.045,
02/21,0.02,0.02,,,,,0.03,,0.03,,,,,,,0.035,
02/22,0.02,0.02,,,,,0.03,,0.03,,,,,,,0.045,
02/23,0.02,0.02,,,,,0.03,,0.02,,,,,,,0.04,
02/24,0.02,0.02,,,,,0.03,,0.03,,,,,,,0.045,
02/25,0.05,0.05,,,,,0.08,,0.05,,,,,,,0.08,
02/26,0.02,0.02,,,,,0.02,,0.02,,,,,,,0.03,
02/27,0.03,0.03,,,,,0.025,,0.02,,,,,,,0.033,
02/28,0.04,0.04,,,,,0.035,,0.025,,,,,,,0.043,
02/29,,,,,,,,,,,,,,,,0.045,
03/01,0.025,0.025,,,,,0.025,,0.028,,,,,,,0.042,
03/02,0.03,0.03,,,,,0.022,,0.025,,,,,,,0.045,
03/03,0.045,0.045,,,,,0.032,,0.032,,,,,,,0.06,
03/04,0.035,0.035,,,,,0.028,,0.032,,,,,,,0.053,
03/05,0.028,0.028,,,,,0.04,,0.042,,,,0.02,,0.04,0.048,0.02
03/06,0.03,0.03,,,,,0.047,,0.043,,,,0.02,,0.03,0.05,0.025
03/07,0.025,0.025,,,,,0.04,,0.035,,,,0.01,,0.02,0.042,0.02
03/08,0.03,0.03,,,,,0.052,,0.04,,,,0.02,,0.02,0.045,0.02
03/09,0.03,0.03,,,,,0.05,,0.037,,,,0.01,,0.02,0.05,0.015
03/10,0.035,0.035,,,,,0.042,,0.035,,,,0.02,,0.02,0.05,0.02
03/11,0.028,0.028,,,,,0.038,,0.035,,,,0.01,,0.025,0.053,0.015
03/12,0.045,0.045,,,,,0.054,,0.045,,,,0.02,,0.04,0.06,0.02
03/13,0.05,0.05,,,,,0.058,,0.05,,,,0.02,,0.04,0.072,0.025
03/14,0.048,0.048,,,,,0.051,,0.041,,,,0.02,,0.03,0.058,0.02
03/15,0.028,0.028,,,,,0.044,,0.037,,,,0.015,,0.026,0.052,0.02
03/16,0.035,0.035,,,,,0.054,,0.043,,,,0.02,,0.027,0.058,0.025
03/17,0.05,0.05,,,,,0.078,,0.057,,,,0.03,,0.027,0.077,0.04
03/18,0.046,0.046,,,,,0.074,,0.054,,,,0.02,,0.029,0.078,0.03
03/19,0.054,0.054,,,,,0.085,,0.06,,,,0.03,,0.03,0.087,0.035
03/20,0.06,0.06,0.05,,,,0.085,,0.062,,,,0.028,,0.036,0.093,0.035
03/21,0.057,0.057,0.03,,,,0.075,,0.054,,,,0.022,,0.034,0.085,0.035
03/22,0.063,0.063,0.04,,,,0.079,,0.058,,,,0.026,,0.034,0.091,0.04
03/23,0.069,0.07,0.03,,,,0.085,,0.063,,,,0.03,,0.04,0.093,0.035
03/24,0.068,0.068,0.04,,,,0.082,,0.059,,,,0.028,,0.039,0.092,0.04
03/25,0.058,0.058,0.024,,,,0.079,,0.059,,,,0.024,,0.034,0.092,0.035
03/26,0.058,0.058,0.026,,,,0.078,,0.058,,,,0.024,,0.037,0.088,0.045
03/27,0.065,0.066,0.024,,,,0.088,,0.062,,,,0.026,,0.037,0.098,0.045
03/28,0.089,0.091,0.034,,,,0.118,,0.085,,,,0.032,,0.052,0.128,0.06
03/29,0.089,0.09,0.038,,,,0.115,,0.083,,,,0.038,,0.062,0.124,0.05
03/30,0.079,0.081,0.034,,,,0.099,,0.073,,,,0.034,,0.046,0.109,0.065
