# Station Code,pngo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BLUB,CHRY,LAWN,PAST,PEAR,WGRP
02/15,0.01,0.01,,,,0.01,0.01,,
02/16,0.01,0.01,,,,0.01,0.02,,
02/17,0.01,0.01,,,,0.01,0.01,,
02/18,0.01,0.01,,,,0.01,0.01,,
02/19,0.01,0.01,,,,0.01,0.01,,
02/20,0.01,0.01,,,,0.01,0.01,,
02/21,0.01,0.01,,,,0.02,0.02,,
02/22,0.02,0.02,,,,0.02,0.02,,
02/23,0.02,0.02,,,,0.02,0.02,,
02/24,0.02,0.02,,,,0.03,0.03,,
02/25,0.01,0.01,,,,0.02,0.01,,
02/26,0.02,0.02,,,,0.015,0.02,,
02/27,0.01,0.01,,,,0.015,0.01,,
02/28,0.03,0.03,,,,0.025,0.03,,
03/01,0.015,0.015,,,,0.017,0.013,,
03/02,0.01,0.01,,,,0.01,0.015,,
03/03,0.015,0.015,,,,0.017,0.018,,
03/04,0.02,0.02,,,,0.018,0.018,,
03/05,0.013,0.013,,,,0.017,0.02,,
03/06,0.017,0.017,,,,0.023,0.022,,
03/07,0.017,0.017,,,,0.027,0.022,,
03/08,0.017,0.017,,,,0.022,0.017,,
03/09,0.015,0.015,,,,0.023,0.018,,
03/10,0.023,0.023,,,,0.034,0.025,,
03/11,0.018,0.018,,,,0.023,0.021,,
03/12,0.027,0.027,,,,0.032,0.025,,
03/13,0.022,0.022,,,,0.022,0.017,,
03/14,0.02,0.02,,,,0.023,0.018,,
03/15,0.019,0.019,,,,0.028,0.024,,
03/16,0.026,0.026,,,,0.038,0.029,,
03/17,0.025,0.025,,,,0.039,0.029,,
03/18,0.029,0.029,,,,0.043,0.033,,
03/19,0.032,0.032,,,,0.049,0.031,,
03/20,0.026,0.026,,,,0.037,0.027,,
03/21,0.025,0.025,,,,0.035,0.026,,
03/22,0.035,0.035,,,,0.045,0.032,,
03/23,0.036,0.036,,,,0.047,0.035,,
03/24,0.039,0.039,,,,0.046,0.035,,
03/25,0.035,0.035,0.015,,,0.046,0.032,0.015,
03/26,0.035,0.035,0.01,,,0.048,0.034,0.01,
03/27,0.042,0.042,0.02,,,0.054,0.04,0.02,
03/28,0.042,0.042,0.02,,,0.058,0.044,0.02,
03/29,0.048,0.05,0.02,,,0.062,0.045,0.02,
03/30,0.051,0.052,0.02,0.02,,0.066,0.048,0.02,
03/31,0.056,0.057,0.025,0.01,,0.071,0.051,0.02,
04/01,0.056,0.057,0.02,0.017,0.045,0.071,0.048,0.017,
04/02,0.068,0.07,0.03,0.02,0.055,0.083,0.062,0.023,
04/03,0.065,0.066,0.025,0.02,0.04,0.075,0.055,0.023,
04/04,0.056,0.058,0.02,0.013,0.033,0.065,0.048,0.017,
04/05,0.059,0.06,0.02,0.016,0.033,0.065,0.05,0.02,
04/06,0.07,0.072,0.022,0.019,0.047,0.075,0.058,0.021,
04/07,0.079,0.082,0.024,0.024,0.047,0.085,0.066,0.022,0.01
04/08,0.079,0.084,0.026,0.026,0.043,0.083,0.066,0.025,0.01
04/09,0.09,0.094,0.026,0.027,0.043,0.093,0.074,0.024,0.02
04/10,0.081,0.086,0.022,0.026,0.046,0.085,0.067,0.022,0.017
04/11,0.08,0.085,0.026,0.026,0.044,0.08,0.065,0.024,0.01
04/12,0.085,0.09,0.024,0.03,0.05,0.088,0.07,0.022,0.013
04/13,0.092,0.097,0.028,0.035,0.051,0.092,0.075,0.024,0.017
04/14,0.096,0.103,0.034,0.043,0.051,0.097,0.078,0.023,0.013
04/15,0.096,0.105,0.03,0.035,0.054,0.094,0.077,0.024,0.018
04/16,0.09,0.098,0.031,0.039,0.054,0.088,0.073,0.024,0.021
04/17,0.104,0.114,0.037,0.051,0.065,0.101,0.083,0.027,0.024
04/18,0.107,0.118,0.039,0.052,0.066,0.106,0.087,0.029,0.025
04/19,0.102,0.112,0.037,0.056,0.069,0.096,0.08,0.028,0.025
04/20,0.106,0.117,0.037,0.057,0.071,0.1,0.084,0.03,0.026
