# Station Code,psti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SAFL,SGRN,WGRN
02/26,,,,,,,0.02
02/27,,,,,,,0.02
02/28,,,,,,,0.02
02/29,,,,,,,0.03
03/01,,,,,,,0.02
03/02,,,,,,0.01,0.02
03/03,,,,,,0.01,0.02
03/04,,,,,,0.01,0.025
03/05,0.02,0.02,0.01,0.02,,0.02,0.028
03/06,0.02,0.02,0.013,0.023,,0.02,0.033
03/07,0.02,0.02,0.017,0.027,,0.02,0.035
03/08,0.02,0.02,0.013,0.023,,0.03,0.03
03/09,0.02,0.02,0.017,0.023,,0.03,0.033
03/10,0.018,0.018,0.023,0.03,,0.03,0.048
03/11,0.02,0.02,0.03,0.03,,0.03,0.04
03/12,0.018,0.018,0.037,0.033,,0.01,0.044
03/13,0.02,0.02,0.04,0.033,,0.03,0.043
03/14,0.022,0.022,0.05,0.037,,0.04,0.047
03/15,0.022,0.022,0.038,0.037,,0.04,0.047
03/16,0.03,0.03,0.039,0.036,,0.05,0.056
03/17,0.04,0.04,0.047,0.041,,0.06,0.063
03/18,0.04,0.04,0.044,0.041,,0.06,0.069
03/19,0.037,0.037,0.044,0.04,,0.05,0.066
03/20,0.034,0.034,0.047,0.041,,0.03,0.058
03/21,0.037,0.037,0.056,0.047,,0.036,0.064
03/22,0.03,0.03,0.047,0.033,,0.028,0.046
03/23,0.034,0.034,0.054,0.039,,0.028,0.054
03/24,0.031,0.031,0.053,0.037,,0.024,0.053
03/25,0.036,0.036,0.048,0.032,,0.03,0.053
03/26,0.049,0.049,0.061,0.043,,0.036,0.071
03/27,0.057,0.057,0.069,0.049,,0.044,0.082
03/28,0.061,0.061,0.078,0.058,,0.05,0.09
03/29,0.056,0.056,0.069,0.051,,0.048,0.084
03/30,0.059,0.059,0.066,0.046,,0.046,0.077
03/31,0.079,0.079,0.089,0.064,,0.066,0.101
04/01,0.07,0.07,0.091,0.062,,0.048,0.103
04/02,0.073,0.073,0.091,0.063,,0.046,0.103
04/03,0.079,0.079,0.097,0.069,,0.05,0.111
04/04,0.086,0.086,0.107,0.076,,0.058,0.118
04/05,0.1,0.1,0.118,0.083,,0.062,0.132
04/06,0.069,0.069,0.08,0.057,,0.039,0.091
04/07,0.09,0.091,0.104,0.074,,0.053,0.119
04/08,0.109,0.109,0.123,0.089,,0.059,0.139
04/09,0.103,0.104,0.114,0.086,,0.06,0.132
04/10,0.113,0.114,0.124,0.092,,0.073,0.142
04/11,0.112,0.116,0.126,0.093,,0.079,0.142
04/12,0.11,0.112,0.12,0.089,,0.071,0.133
