# Station Code,rdbm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,CHRY,LAWN,PAST,PEAS,POTA,SGRN,WGRN
02/12,,,,,,,,,,0.01
02/13,,,,,,,,,,0.01
02/14,,,,,,,,,,0.02
02/15,,,,,,,,,,0.02
02/16,,,,,,,,,,0.01
02/17,,,,,,,,,,0.01
02/18,,,,,,,,,,0.01
02/19,,,,,,,,,,0.02
02/20,,,,,,,,,,0.01
02/21,,,,,,,,,,0.02
02/22,,,,,,,,,,0.02
02/23,,,,,,,,,,0.02
02/24,,,,,,,,,,0.02
02/25,,,,,,,,,,0.03
02/26,,,,,,,,,,0.015
02/27,,,,,,,,,,0.025
02/28,,,,,,,,,,0.03
02/29,,,,,,,,,,0.03
03/01,,,,,,,,,,0.015
03/02,,,,,,,,,,0.025
03/03,,,,,,,,,,0.02
03/04,,,,,,,,,,0.03
03/05,,,,,0.01,0.02,,,,0.025
03/06,,,,,0.0,0.01,,,,0.027
03/07,,,,,0.01,0.02,,,,0.033
03/08,,,,,0.02,0.03,,,,0.043
03/09,,,,,0.01,0.02,,,,0.053
03/10,0.03,0.03,,,0.02,0.03,,,,0.048
03/11,0.01,0.01,,,0.013,0.02,,,,0.036
03/12,0.01,0.01,,,0.02,0.027,,,,0.044
03/13,0.02,0.02,,,0.027,0.027,,,,0.042
03/14,0.02,0.02,,,0.02,0.023,,,,0.036
03/15,0.01,0.01,,,0.016,0.02,,,,0.03
03/16,0.023,0.023,,,0.028,0.034,,,,0.054
03/17,0.007,0.007,,,0.018,0.022,,,,0.032
03/18,0.017,0.017,,,0.026,0.024,,,,0.044
03/19,0.02,0.02,,,0.03,0.028,,,,0.05
03/20,0.024,0.024,,,0.04,0.036,,,,0.057
03/21,0.022,0.022,,,0.046,0.038,,,,0.038
03/22,0.02,0.02,,,0.04,0.034,,,,0.034
03/23,0.028,0.028,,,0.056,0.044,,,,0.045
03/24,0.03,0.03,,,0.058,0.042,,,,0.045
03/25,0.026,0.026,,,0.029,0.026,,,,0.04
03/26,0.034,0.034,,,0.033,0.031,,,,0.045
03/27,0.03,0.03,,,0.031,0.03,,,,0.045
03/28,0.044,0.044,,,0.04,0.035,,,,0.054
03/29,0.056,0.056,,,0.046,0.039,,,,0.061
03/30,0.048,0.048,,,0.042,0.037,,,,0.057
03/31,0.054,0.054,,,0.05,0.041,,,,0.063
04/01,0.035,0.033,,,0.052,0.04,,,,0.062
04/02,0.037,0.037,,,0.06,0.048,,,,0.067
04/03,0.041,0.041,,,0.066,0.047,,,,0.068
04/04,0.037,0.037,,,0.063,0.043,,,,0.066
04/05,0.043,0.043,,,0.062,0.047,,,,0.069
04/06,0.047,0.047,,,0.068,0.05,,,,0.075
04/07,0.054,0.054,,,0.081,0.06,,,,0.087
04/08,0.064,0.065,,,0.088,0.067,,,,0.101
04/09,0.072,0.072,,,0.095,0.07,,,,0.103
04/10,0.061,0.061,0.01,,0.084,0.065,0.033,,,0.094
04/11,0.063,0.063,0.02,,0.09,0.065,0.033,,,0.097
04/12,0.048,0.049,0.01,,0.07,0.05,0.02,,,0.075
04/13,0.061,0.061,0.03,,0.084,0.058,0.025,,,0.088
04/14,0.07,0.071,0.03,,0.096,0.068,0.02,,,0.102
04/15,0.065,0.067,0.02,,0.088,0.062,0.024,,0.028,0.095
