# Station Code,rgbi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SCRN,SGRN,WGRN
03/06,,,,,,0.02,,,,,
03/07,,,,,,0.02,,,,,
03/08,,,,,,0.01,,,,,
03/09,,,,,,0.02,,,,,
03/10,,,,,,0.05,,,,,
03/11,,,,,,0.03,,,,,
03/12,,,,,,0.04,,,,,
03/13,,,,,,0.02,,,,,
03/14,,,,,,0.03,,,,,
03/15,,,,,,0.03,,,,,
03/16,,,,,,0.02,,,,,
03/17,,,,,,0.02,,,,,
03/18,,,,,,0.04,,,,,
03/19,,,,,,0.05,,,,,
03/20,0.04,0.04,,,,0.09,,,,,
03/21,0.01,0.01,,,,0.03,,,,,0.02
03/22,0.01,0.01,,,,0.02,,,,,0.02
03/23,0.02,0.02,,,,0.04,,,,,0.02
03/24,0.03,0.03,,,,0.06,,,,,0.035
03/25,0.02,0.02,,,,0.037,,,,,0.045
03/26,0.02,0.02,,,,0.047,,,,,0.06
03/27,0.03,0.03,,,,0.05,,,,,0.065
03/28,0.03,0.03,,,,0.043,,,,,0.06
03/29,0.05,0.05,,,,0.047,,,,,0.045
03/30,0.07,0.07,,,,0.057,,,,,0.05
03/31,0.06,0.06,,,,0.053,,,,,0.06
04/01,0.03,0.03,,,0.017,0.047,,,,,0.04
04/02,0.047,0.047,,,0.023,0.06,,,,,0.05
04/03,0.04,0.04,,,0.023,0.057,,,,,0.05
04/04,0.033,0.033,,,0.027,0.06,,,,,0.065
04/05,0.05,0.05,0.095,0.095,0.033,0.062,,0.06,,,0.065
04/06,0.06,0.06,0.097,0.097,0.04,0.058,,0.07,,,0.056
04/07,0.063,0.063,0.107,0.107,0.057,0.067,,0.07,,,0.066
04/08,0.087,0.087,0.148,0.148,0.087,0.087,,0.09,,,0.089
04/09,0.093,0.093,0.143,0.143,0.08,0.085,,0.1,,,0.076
04/10,0.05,0.05,0.133,0.133,0.054,0.071,,0.06,,,0.086
04/11,0.058,0.058,0.122,0.122,0.054,0.068,,0.08,,,0.076
04/12,0.058,0.058,0.121,0.121,0.053,0.068,,0.09,,,0.079
04/13,0.058,0.058,0.138,0.138,0.061,0.073,,0.08,,,0.09
04/14,0.05,0.05,0.104,0.104,0.048,0.056,,0.04,,,0.061
04/15,0.047,0.047,0.112,0.112,0.058,0.063,,0.06,,0.027,0.071
04/16,0.056,0.056,0.139,0.139,0.081,0.072,,0.08,,0.03,0.091
04/17,0.071,0.071,0.162,0.162,0.103,0.089,,0.11,,0.037,0.108
04/18,0.081,0.081,0.158,0.158,0.116,0.097,,0.1,,0.047,0.112
04/19,0.082,0.082,0.159,0.159,0.123,0.098,,0.1,,0.043,0.118
04/20,0.098,0.098,0.173,0.173,0.126,0.099,,0.12,,0.043,0.121
