# Station Code,robi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,SCRN,SGRN,WGRN
03/21,0.01,0.01,,,,,,,,0.02
03/22,0.01,0.01,,,,,,,,0.02
03/23,0.02,0.02,,,,,,,,0.065
03/24,0.03,0.03,,,,,,,,0.03
03/25,0.02,0.02,,,,0.027,,,,0.04
03/26,0.02,0.02,,,,0.03,,,,0.045
03/27,0.03,0.03,,,,0.03,,,,0.045
03/28,0.03,0.03,,,,0.033,,,,0.05
03/29,0.04,0.04,,,,0.033,,,,0.045
03/30,0.07,0.07,,,,0.047,,,,0.06
03/31,0.06,0.06,,,,0.047,,,,0.065
04/01,0.033,0.033,,,0.02,0.037,,,,0.04
04/02,0.037,0.037,,,0.02,0.04,,,,0.045
04/03,0.033,0.033,,,0.02,0.04,,,,0.048
04/04,0.027,0.027,,,0.02,0.037,,,,0.055
04/05,0.055,0.055,0.093,0.093,0.03,0.047,,,,0.05
04/06,0.053,0.053,0.093,0.093,0.037,0.048,,,,0.05
04/07,0.07,0.07,0.112,0.112,0.062,0.058,,,,0.066
04/08,0.083,0.083,0.138,0.138,0.083,0.073,,,,0.083
04/09,0.077,0.077,0.13,0.13,0.075,0.068,,,,0.073
04/10,0.048,0.048,0.12,0.12,0.052,0.061,,,,0.081
04/11,0.057,0.057,0.119,0.119,0.052,0.06,,,,0.076
04/12,0.058,0.058,0.113,0.113,0.054,0.058,,,,0.076
04/13,0.057,0.057,0.13,0.13,0.058,0.064,,,,0.083
04/14,0.052,0.052,0.109,0.109,0.051,0.058,,,,0.069
04/15,0.044,0.044,0.11,0.11,0.059,0.057,,,0.027,0.07
04/16,0.062,0.062,0.146,0.146,0.087,0.076,,,0.033,0.093
04/17,0.073,0.073,0.16,0.16,0.102,0.087,,,0.033,0.106
04/18,0.079,0.079,0.163,0.163,0.116,0.091,,,0.043,0.111
04/19,0.083,0.083,0.164,0.164,0.123,0.093,,,0.043,0.114
04/20,0.09,0.091,0.173,0.173,0.131,0.099,,,0.043,0.123
04/21,0.09,0.09,0.167,0.167,0.127,0.097,,,0.037,0.119
04/22,0.11,0.111,0.191,0.191,0.151,0.114,,,0.04,0.14
04/23,0.086,0.086,0.147,0.147,0.117,0.088,,,0.033,0.107
04/24,0.086,0.087,0.142,0.142,0.116,0.086,,,0.04,0.111
04/25,0.082,0.083,0.13,0.13,0.11,0.082,,,0.043,0.109
04/26,0.11,0.111,0.16,0.16,0.137,0.102,,,0.06,0.139
04/27,0.112,0.113,0.163,0.163,0.139,0.104,,,0.05,0.134
04/28,0.123,0.126,0.174,0.174,0.15,0.11,,,0.043,0.147
04/29,0.132,0.133,0.186,0.186,0.16,0.119,,,0.057,0.152
04/30,0.13,0.132,0.179,0.179,0.154,0.116,,,0.05,0.15
05/01,0.14,0.144,0.203,0.203,0.169,0.13,,,0.047,0.164
05/02,0.16,0.163,0.219,0.219,0.188,0.143,,,0.057,0.182
05/03,0.163,0.168,0.218,0.218,0.188,0.143,,,0.057,0.185
05/04,0.169,0.175,0.215,0.215,0.189,0.144,,,0.062,0.187
05/05,0.162,0.167,0.207,0.207,0.182,0.141,,,0.07,0.184
05/06,0.171,0.176,0.217,0.217,0.191,0.147,,,0.092,0.199
05/07,0.145,0.148,0.181,0.181,0.16,0.124,,,0.073,0.168
05/08,0.148,0.153,0.18,0.18,0.156,0.126,,,0.08,0.172
05/09,0.153,0.16,0.188,0.188,0.164,0.129,,,0.07,0.171
05/10,0.155,0.162,0.184,0.184,0.16,0.13,,,0.087,0.174
05/11,0.169,0.179,0.198,0.198,0.171,0.139,,,0.098,0.186
05/12,0.197,0.208,0.232,0.233,0.201,0.163,,,0.098,0.218
05/13,0.209,0.226,0.243,0.243,0.211,0.17,,,0.127,0.232
05/14,0.2,0.214,0.23,0.233,0.198,0.162,,,0.118,0.22
05/15,0.169,0.182,0.195,0.198,0.168,0.138,,,0.11,0.189
05/16,0.179,0.194,0.206,0.209,0.177,0.146,,,0.135,0.205
05/17,0.173,0.188,0.195,0.198,0.166,0.139,,,0.117,0.193
05/18,0.203,0.225,0.231,0.234,0.197,0.164,,,0.15,0.23
05/19,0.169,0.189,0.194,0.195,0.166,0.137,,,0.128,0.193
05/20,0.153,0.167,0.174,0.174,0.146,0.121,0.055,,0.103,0.171
05/21,0.16,0.178,0.183,0.184,0.154,0.129,0.05,,0.117,0.179
05/22,0.164,0.185,0.186,0.188,0.16,0.133,0.05,,0.1,0.185
05/23,0.157,0.177,0.176,0.179,0.15,0.126,0.06,,0.101,0.177
05/24,0.185,0.212,0.208,0.21,0.177,0.151,0.055,,0.144,0.212
05/25,0.185,0.213,0.208,0.212,0.176,0.149,0.065,,0.156,0.213
05/26,0.192,0.222,0.215,0.216,0.18,0.153,0.08,,0.159,0.22
05/27,0.199,0.233,0.223,0.224,0.188,0.161,0.095,,0.167,0.23
05/28,0.216,0.253,0.242,0.244,0.204,0.174,0.065,,0.194,0.251
05/29,0.213,0.248,0.238,0.24,0.201,0.17,0.065,,0.177,0.246
05/30,0.199,0.232,0.223,0.225,0.187,0.157,0.05,,0.174,0.23
05/31,0.222,0.26,0.249,0.251,0.21,0.178,0.09,,0.207,0.258
06/01,0.225,0.262,0.251,0.253,0.211,0.179,0.087,0.053,0.209,0.26
06/02,0.228,0.266,0.253,0.256,0.213,0.18,0.091,0.055,0.211,0.264
06/03,0.221,0.26,0.247,0.251,0.209,0.175,0.09,0.06,0.231,0.258
06/04,0.247,0.291,0.276,0.279,0.232,0.198,0.094,0.068,0.263,0.289
06/05,0.261,0.306,0.289,0.294,0.243,0.21,0.096,0.064,0.269,0.304
06/06,0.245,0.289,0.276,0.277,0.232,0.196,0.091,0.058,0.261,0.288
06/07,0.232,0.273,0.259,0.261,0.219,0.187,0.086,0.051,0.238,0.272
06/08,0.22,0.258,0.244,0.247,0.207,0.177,0.085,0.049,0.229,0.258
06/09,0.243,0.287,0.271,0.276,0.231,0.195,0.096,0.065,0.236,0.287
06/10,0.243,0.285,0.269,0.274,0.228,0.195,0.098,0.062,0.247,0.285
06/11,0.216,0.255,0.239,0.245,0.204,0.173,0.09,0.059,0.25,0.255
06/12,0.214,0.252,0.237,0.242,0.201,0.171,0.088,0.062,0.221,0.252
06/13,0.24,0.282,0.262,0.271,0.225,0.192,0.104,0.076,0.24,0.282
06/14,0.243,0.286,0.267,0.275,0.227,0.194,0.109,0.077,0.283,0.286
06/15,0.232,0.274,0.253,0.263,0.22,0.187,0.107,0.082,0.274,0.274
06/16,0.237,0.279,0.258,0.267,0.223,0.188,0.114,0.092,0.281,0.279
06/17,0.232,0.274,0.251,0.263,0.219,0.188,0.119,0.099,0.273,0.274
06/18,0.214,0.251,0.228,0.239,0.201,0.17,0.112,0.1,0.241,0.251
06/19,0.26,0.304,0.276,0.291,0.244,0.206,0.136,0.134,0.277,0.304
06/20,0.226,0.266,0.24,0.254,0.213,0.18,0.123,0.124,0.24,0.266
06/21,0.25,0.294,0.262,0.28,0.235,0.201,0.144,0.154,0.276,0.294
06/22,0.237,0.279,0.25,0.265,0.222,0.19,0.141,0.163,0.269,0.279
06/23,0.249,0.293,0.259,0.279,0.234,0.198,0.155,0.182,0.28,0.293
06/24,0.274,0.321,0.28,0.304,0.257,0.218,0.173,0.211,0.311,0.321
06/25,0.242,0.287,0.25,0.272,0.23,0.195,0.159,0.191,0.284,0.287
06/26,0.274,0.322,0.281,0.303,0.257,0.219,0.183,0.236,0.326,0.322
06/27,0.245,0.289,0.248,0.272,0.231,0.196,0.169,0.218,0.327,0.289
06/28,0.243,0.284,0.243,0.267,0.226,0.193,0.168,0.226,0.273,0.284
06/29,0.254,0.297,0.252,0.28,0.238,0.202,0.182,0.243,0.271,0.297
06/30,0.224,0.264,0.225,0.249,0.212,0.178,0.168,0.214,0.264,0.264
07/01,0.275,0.324,0.273,0.304,0.259,0.22,0.209,0.274,0.333,0.324
07/02,0.285,0.336,0.281,0.316,0.267,0.227,0.224,0.292,0.334,0.336
07/03,0.278,0.326,0.271,0.306,0.26,0.22,0.221,0.29,0.32,0.326
07/04,0.275,0.322,0.267,0.302,0.258,0.218,0.223,0.287,0.319,0.322
07/05,0.272,0.317,0.261,0.296,0.254,0.215,0.225,0.29,0.32,0.317
07/06,0.278,0.327,0.266,0.306,0.261,0.221,0.237,0.304,0.341,0.327
07/07,0.282,0.332,0.269,0.31,0.264,0.226,0.242,0.312,0.354,0.332
07/08,0.266,0.313,0.252,0.292,0.251,0.213,0.236,0.297,0.323,0.313
07/09,0.27,0.317,0.255,0.296,0.254,0.215,0.242,0.304,0.321,0.314
07/10,0.246,0.291,0.234,0.27,0.233,0.198,0.227,0.276,0.339,0.287
07/11,0.27,0.316,0.253,0.293,0.253,0.215,0.247,0.303,0.34,0.31
07/12,0.279,0.328,0.264,0.305,0.263,0.224,0.262,0.324,0.343,0.315
07/13,0.265,0.311,0.25,0.288,0.249,0.211,0.252,0.31,0.333,0.294
07/14,0.27,0.315,0.251,0.292,0.251,0.212,0.261,0.312,0.317,0.293
07/15,0.266,0.312,0.248,0.288,0.248,0.211,0.26,0.312,0.313,0.283
07/16,0.293,0.346,0.277,0.319,0.277,0.233,0.291,0.343,0.333,0.306
07/17,0.266,0.311,0.248,0.289,0.248,0.211,0.267,0.31,0.335,0.261
07/18,0.297,0.349,0.278,0.322,0.278,0.237,0.302,0.348,0.363,0.29
07/19,0.29,0.341,0.274,0.315,0.274,0.23,0.296,0.34,0.344,0.281
07/20,0.279,0.328,0.262,0.304,0.262,0.223,0.288,0.329,0.32,0.258
07/21,0.286,0.335,0.267,0.307,0.267,0.226,0.296,0.339,0.319,0.289
07/22,0.296,0.349,0.28,0.319,0.28,0.236,0.312,0.351,0.32,0.297
07/23,0.284,0.333,0.267,0.306,0.267,0.227,0.297,0.33,0.303,0.274
07/24,0.283,0.333,0.267,0.304,0.267,0.226,0.301,0.34,0.294,0.268
07/25,0.264,0.309,0.247,0.282,0.247,0.209,0.279,0.307,0.25,0.253
07/26,0.274,0.322,0.259,0.293,0.259,0.218,0.293,0.311,0.313,0.26
07/27,0.25,0.293,0.235,0.268,0.235,0.198,0.269,0.281,0.295,0.227
07/28,0.238,0.28,0.225,0.254,0.225,0.19,0.257,0.271,0.265,0.21
07/29,0.238,0.28,0.224,0.255,0.224,0.191,0.259,0.28,0.258,0.187
07/30,0.268,0.316,0.253,0.287,0.253,0.214,0.292,0.311,0.28,0.201
07/31,0.268,0.316,0.252,0.285,0.252,0.215,0.295,0.326,0.235,0.182
08/01,0.272,0.321,0.257,0.291,0.257,0.217,0.298,0.326,0.242,0.152
08/02,0.25,0.294,0.234,0.266,0.234,0.199,0.272,0.316,0.187,0.16
08/03,0.267,0.314,0.25,0.282,0.25,0.213,0.293,0.329,0.212,0.163
08/04,0.238,0.279,0.222,0.251,0.222,0.19,0.26,0.294,0.188,0.129
08/05,0.212,0.25,0.199,0.224,0.199,0.169,0.232,0.251,0.142,0.094
08/06,0.215,0.253,0.203,0.229,0.203,0.171,0.235,0.258,0.163,0.114
08/07,0.237,0.279,0.225,0.252,0.225,0.19,0.259,0.294,0.185,0.118
08/08,0.224,0.263,0.21,0.235,0.21,0.18,0.246,0.271,0.212,0.11
08/09,0.232,0.274,0.22,0.245,0.22,0.185,0.253,0.274,0.175,0.094
08/10,0.261,0.308,0.248,0.275,0.248,0.21,0.287,0.303,0.207,0.09
08/11,0.265,0.311,0.249,0.277,0.249,0.212,0.288,0.316,0.233,0.12
08/12,0.256,0.302,0.241,0.27,0.241,0.205,0.28,0.304,0.223,0.11
08/13,0.278,0.325,0.261,0.291,0.261,0.222,0.302,0.321,0.247,0.117
08/14,0.236,0.276,0.221,0.246,0.221,0.188,0.257,0.277,0.19,0.093
08/15,0.265,0.312,0.251,0.28,0.251,0.212,0.289,0.311,0.187,0.0
08/16,0.255,0.3,0.24,0.268,0.24,0.203,0.276,0.301,0.157,
08/17,0.27,0.319,0.256,0.282,0.256,0.215,0.293,0.314,0.17,
08/18,0.249,0.292,0.233,0.259,0.233,0.199,0.267,0.281,0.127,
08/19,0.236,0.276,0.22,0.245,0.22,0.187,0.253,0.287,0.07,
08/20,0.207,0.244,0.195,0.215,0.195,0.165,0.223,0.266,0.01,
08/21,0.224,0.264,0.21,0.231,0.21,0.18,0.239,0.266,0.12,
08/22,0.218,0.256,0.203,0.226,0.203,0.174,0.229,0.262,0.09,
08/23,0.21,0.244,0.194,0.215,0.194,0.167,0.22,0.246,0.09,
08/24,0.237,0.279,0.222,0.246,0.222,0.187,0.25,0.29,0.06,
08/25,0.239,0.284,0.229,0.249,0.229,0.191,0.254,0.283,0.0,
08/26,0.225,0.265,0.213,0.232,0.213,0.179,0.235,0.264,,
08/27,0.223,0.261,0.208,0.229,0.208,0.176,0.228,0.254,,
08/28,0.233,0.274,0.218,0.24,0.218,0.185,0.237,0.256,,
08/29,0.263,0.309,0.249,0.269,0.249,0.205,0.269,0.268,,
08/30,0.244,0.286,0.228,0.249,0.228,0.189,0.246,0.233,,
08/31,0.217,0.255,0.204,0.222,0.204,0.168,0.218,0.207,,
09/01,0.231,0.271,0.216,0.236,0.216,0.179,0.228,0.216,,
09/02,0.259,0.303,0.241,0.262,0.241,0.2,0.256,0.232,,
09/03,0.232,0.272,0.218,0.235,0.218,0.179,0.226,0.204,,
09/04,0.207,0.244,0.195,0.213,0.195,0.158,0.202,0.179,,
