# Station Code,rpti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,PEAS,POTA,SGRN,WGRN
02/26,,,,,,,,,,,0.04
02/27,,,,,,,,,,,0.04
02/28,,,,,,,,,,,0.04
02/29,,,,,,,,,,,0.06
03/01,,,,,,,,,,,0.03
03/02,0.0,0.0,,,,0.01,0.023,,,,0.034
03/03,0.01,0.01,,,,0.013,0.023,,,,0.038
03/04,0.01,0.01,,,,0.017,0.027,,,,0.04
03/05,0.017,0.017,,,,0.02,0.036,,,,0.048
03/06,0.013,0.013,,,,0.022,0.034,,,,0.048
03/07,0.02,0.02,,,,0.03,0.036,,,,0.054
03/08,0.027,0.027,,,,0.034,0.038,,,,0.048
03/09,0.03,0.03,,,,0.042,0.036,,,,0.052
03/10,0.022,0.022,,,,0.036,0.032,,,,0.057
03/11,0.027,0.027,,,,0.058,0.046,,,,0.049
03/12,0.03,0.03,,,,0.064,0.054,,,,0.059
03/13,0.03,0.03,,,,0.068,0.05,,,,0.058
03/14,0.037,0.037,,,,0.08,0.056,,,,0.065
03/15,0.038,0.038,,,,0.053,0.048,,,,0.062
03/16,0.042,0.042,,,,0.051,0.045,,,,0.065
03/17,0.057,0.057,,,,0.06,0.051,,,,0.074
03/18,0.048,0.048,,,,0.055,0.049,,,,0.07
03/19,0.055,0.055,,,,0.063,0.057,,,,0.083
03/20,0.043,0.045,,,,0.064,0.055,,,,0.072
03/21,0.044,0.045,,,,0.067,0.055,,,,0.072
03/22,0.045,0.047,,,,0.072,0.054,,,,0.07
03/23,0.047,0.049,,,,0.075,0.057,,,,0.076
03/24,0.057,0.058,,,,0.089,0.063,,,,0.09
03/25,0.069,0.073,,,,0.093,0.067,,,,0.099
03/26,0.056,0.058,,,,0.079,0.057,,,,0.085
03/27,0.064,0.067,,,,0.089,0.065,,,,0.1
03/28,0.077,0.079,,,,0.105,0.076,,,,0.118
03/29,0.068,0.07,,,,0.088,0.065,,,,0.101
03/30,0.069,0.073,,,,0.082,0.062,,,,0.095
03/31,0.103,0.107,,,,0.121,0.088,,,,0.132
04/01,0.082,0.083,,,,0.108,0.075,0.02,,0.037,0.117
04/02,0.084,0.083,,,,0.105,0.075,0.025,,0.037,0.117
04/03,0.099,0.101,,,,0.121,0.085,0.035,,0.04,0.133
04/04,0.112,0.116,,,,0.135,0.098,0.04,,0.047,0.148
04/05,0.098,0.095,,,,0.117,0.084,0.037,,0.033,0.126
