# Station Code,rrci
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SGRN,WGRN
03/21,,,,,,,,,,0.02
03/22,,,,,,,,,,0.02
03/23,,,,,,,,,,0.025
03/24,,,,,,,,,,0.03
03/25,,,,,,0.025,,,,0.03
03/26,,,,,,0.025,,,,0.035
03/27,,,,,,0.02,,,,0.03
03/28,,,,,,0.035,,,,0.05
03/29,,,,,,0.03,,,,0.05
03/30,,,,,,0.03,,,,0.045
03/31,,,,,,0.045,,,,0.06
04/01,0.02,0.02,,,0.02,0.04,,,,0.05
04/02,0.015,0.015,,,0.015,0.02,,,,0.043
04/03,0.02,0.02,,,0.02,0.035,,,,0.053
04/04,0.02,0.02,,,0.025,0.045,,,,0.057
04/05,0.02,0.02,0.09,0.09,0.025,0.045,,,,0.05
04/06,0.02,0.02,0.083,0.083,0.027,0.04,,,,0.053
04/07,0.035,0.035,0.11,0.11,0.05,0.063,,,,0.06
04/08,0.045,0.045,0.137,0.137,0.07,0.077,,,,0.078
04/09,0.045,0.045,0.123,0.123,0.07,0.07,,,,0.08
04/10,0.053,0.053,0.118,0.118,0.06,0.063,,,,0.088
04/11,0.05,0.05,0.102,0.102,0.055,0.055,,,,0.078
04/12,0.027,0.027,0.077,0.077,0.035,0.037,,,,0.055
04/13,0.04,0.04,0.11,0.11,0.052,0.053,,,,0.078
04/14,0.05,0.05,0.095,0.095,0.053,0.05,,,,0.077
04/15,0.037,0.037,0.1,0.1,0.057,0.052,,,0.027,0.077
04/16,0.042,0.042,0.113,0.113,0.07,0.058,,,0.027,0.092
04/17,0.057,0.057,0.15,0.15,0.098,0.08,,,0.037,0.117
04/18,0.063,0.063,0.145,0.145,0.108,0.08,,,0.043,0.118
04/19,0.07,0.07,0.158,0.158,0.122,0.088,,,0.043,0.13
04/20,0.073,0.073,0.158,0.158,0.125,0.09,,,0.043,0.133
04/21,0.067,0.067,0.152,0.152,0.118,0.085,,,0.033,0.123
04/22,0.093,0.093,0.178,0.178,0.145,0.107,,,0.047,0.155
04/23,0.088,0.088,0.152,0.152,0.128,0.093,,,0.047,0.135
04/24,0.098,0.098,0.165,0.165,0.138,0.102,,,0.047,0.148
04/25,0.1,0.1,0.168,0.168,0.142,0.1,,,0.047,0.148
04/26,0.115,0.115,0.175,0.175,0.15,0.108,,,0.057,0.16
04/27,0.123,0.123,0.188,0.188,0.163,0.117,,,0.057,0.172
04/28,0.132,0.132,0.2,0.2,0.173,0.123,,,0.053,0.183
04/29,0.123,0.123,0.183,0.183,0.158,0.113,,,0.05,0.168
04/30,0.103,0.103,0.15,0.15,0.13,0.095,,,0.047,0.138
05/01,0.123,0.123,0.197,0.197,0.161,0.119,,,0.048,0.169
