# Station Code,rrii
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SCRN,SGRN,WGRN
03/21,0.01,0.01,,,,,,,,,0.03
03/22,0.01,0.01,,,,,,,,,0.025
03/23,0.01,0.01,,,,,,,,,0.03
03/24,0.01,0.01,,,,,,,,,0.03
03/25,0.01,0.01,,,,0.033,,,,,0.05
03/26,0.02,0.02,,,,0.04,,,,,0.065
03/27,0.02,0.02,,,,0.04,,,,,0.07
03/28,0.01,0.01,,,,0.027,,,,,0.05
03/29,0.02,0.02,,,,0.03,,,,,0.055
03/30,0.03,0.03,,,,0.033,,,,,0.055
03/31,0.03,0.03,,,,0.033,,,,,0.065
04/01,0.023,0.023,,,0.017,0.033,,,,,0.04
04/02,0.033,0.033,,,0.02,0.04,,,,,0.048
04/03,0.023,0.023,,,0.017,0.027,,,,,0.03
04/04,0.027,0.027,,,0.027,0.047,,,,,0.053
04/05,0.037,0.037,0.068,0.068,0.022,0.04,,0.04,,,0.044
04/06,0.043,0.043,0.073,0.073,0.028,0.038,,0.05,,,0.046
04/07,0.043,0.043,0.087,0.087,0.043,0.047,,0.04,,,0.054
04/08,0.073,0.073,0.127,0.127,0.07,0.068,,0.06,,,0.071
04/09,0.073,0.073,0.128,0.128,0.07,0.068,,0.07,,,0.066
04/10,0.042,0.042,0.121,0.121,0.047,0.06,,0.03,,,0.074
04/11,0.048,0.048,0.113,0.113,0.048,0.056,,0.05,,,0.064
04/12,0.052,0.052,0.118,0.118,0.052,0.059,,0.07,,,0.073
04/13,0.05,0.05,0.128,0.128,0.054,0.063,,0.05,,,0.08
04/14,0.045,0.045,0.097,0.097,0.043,0.05,,0.03,,,0.054
04/15,0.037,0.037,0.101,0.101,0.05,0.052,,0.03,,0.02,0.061
04/16,0.047,0.047,0.121,0.121,0.066,0.062,,0.05,,0.015,0.076
