# Station Code,rthi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
03/02,,,,,,0.02
03/03,,,,,,0.02
03/04,,,,,,0.02
03/05,,,0.01,0.02,,0.03
03/06,,,0.02,0.03,,0.03
03/07,,,0.02,0.03,,0.04
03/08,,,0.02,0.03,,0.04
03/09,,,0.02,0.04,,0.05
03/10,0.02,,0.02,0.03,,0.05
03/11,0.01,,0.01,0.02,,0.02
03/12,0.02,,0.03,0.03,,0.04
03/13,0.02,,0.04,0.04,,0.06
03/14,0.01,,0.02,0.02,,0.02
03/15,0.0,0.0,0.01,0.01,,0.01
03/16,0.02,0.02,0.035,0.03,,0.065
03/17,0.01,0.01,0.02,0.025,,0.05
03/18,0.02,0.01,0.035,0.035,,0.055
03/19,0.02,0.01,0.04,0.04,,0.05
03/20,0.03,0.025,0.04,0.04,,0.05
03/21,0.025,0.02,0.043,0.03,,0.042
03/22,0.015,0.01,0.027,0.025,,0.03
03/23,0.01,0.01,0.023,0.025,,0.028
03/24,0.02,0.015,0.023,0.028,,0.028
03/25,0.017,0.013,0.023,0.024,0.01,0.026
03/26,0.023,0.02,0.028,0.027,0.02,0.036
03/27,0.033,0.027,0.035,0.03,0.03,0.038
03/28,0.033,0.03,0.033,0.027,0.03,0.038
03/29,0.04,0.037,0.047,0.036,0.02,0.056
03/30,0.05,0.047,0.052,0.037,0.03,0.06
03/31,0.043,0.04,0.05,0.04,0.03,0.058
04/01,0.029,0.027,0.053,0.041,0.02,0.051
04/02,0.036,0.034,0.065,0.05,0.015,0.053
04/03,0.034,0.034,0.062,0.044,0.02,0.048
04/04,0.031,0.03,0.062,0.039,0.025,0.043
04/05,0.04,0.039,0.047,0.042,0.023,0.051
04/06,0.034,0.034,0.042,0.035,0.017,0.048
04/07,0.057,0.056,0.063,0.05,0.037,0.071
04/08,0.074,0.073,0.075,0.06,0.04,0.082
04/09,0.064,0.063,0.069,0.058,0.037,0.079
04/10,0.046,0.046,0.062,0.052,0.033,0.068
04/11,0.052,0.051,0.069,0.061,0.037,0.075
04/12,0.043,0.043,0.061,0.05,0.04,0.064
04/13,0.048,0.048,0.07,0.055,0.047,0.072
04/14,0.048,0.048,0.077,0.058,0.043,0.077
04/15,0.048,0.048,0.072,0.054,0.034,0.078
04/16,0.053,0.053,0.077,0.058,0.036,0.082
04/17,0.073,0.073,0.095,0.073,0.046,0.095
04/18,0.077,0.077,0.096,0.074,0.052,0.098
04/19,0.077,0.077,0.097,0.073,0.056,0.1
04/20,0.073,0.073,0.09,0.069,0.054,0.094
04/21,0.079,0.08,0.102,0.077,0.058,0.108
04/22,0.085,0.085,0.109,0.081,0.064,0.11
04/23,0.078,0.079,0.101,0.075,0.06,0.102
04/24,0.084,0.085,0.103,0.077,0.066,0.105
04/25,0.076,0.077,0.098,0.071,0.044,0.101
