# Station Code,rxgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,LAWN,PAST,POTA,SGRN,WGRN
03/21,0.01,0.01,,,,,,0.03
03/22,0.01,0.01,,,,,,0.03
03/23,0.01,0.01,,,,,,0.037
03/24,0.03,0.03,,,,,,0.035
03/25,0.02,0.02,,,0.027,,,0.053
03/26,0.02,0.02,,,0.033,,,0.062
03/27,0.03,0.03,,,0.033,,,0.05
03/28,0.02,0.02,,,0.03,,,0.07
03/29,0.05,0.05,,,0.037,,,0.058
03/30,0.07,0.07,,,0.047,,,0.058
03/31,0.06,0.06,,,0.043,,,0.07
04/01,0.03,0.03,,0.017,0.033,,,0.042
04/02,0.037,0.037,,0.02,0.037,,,0.04
04/03,0.037,0.037,,0.02,0.04,,,0.053
04/04,0.03,0.03,,0.027,0.047,,,0.065
04/05,0.05,0.05,,0.03,0.05,,,0.066
04/06,0.063,0.063,,0.043,0.052,,,0.057
04/07,0.063,0.063,,0.055,0.054,,,0.063
04/08,0.08,0.08,,0.083,0.07,,,0.08
04/09,0.08,0.08,,0.075,0.06,,,0.082
04/10,0.05,0.05,,0.044,0.053,,,0.084
04/11,0.057,0.057,,0.047,0.053,,,0.09
04/12,0.065,0.065,,0.046,0.053,,,0.085
04/13,0.065,0.065,,0.052,0.059,,,0.097
04/14,0.05,0.05,,0.043,0.049,,,0.085
04/15,0.037,0.037,,0.051,0.051,,0.03,0.085
04/16,0.045,0.045,,0.069,0.062,,0.033,0.101
04/17,0.058,0.058,,0.093,0.077,,0.043,0.123
04/18,0.062,0.062,,0.102,0.078,,0.047,0.126
04/19,0.062,0.062,,0.11,0.08,,0.045,0.128
04/20,0.071,0.072,,0.114,0.082,,0.052,0.133
04/21,0.068,0.068,,0.108,0.08,,0.042,0.127
04/22,0.089,0.09,,0.133,0.097,,0.052,0.153
04/23,0.07,0.071,,0.11,0.079,,0.038,0.122
04/24,0.077,0.077,,0.115,0.083,,0.04,0.128
04/25,0.073,0.074,,0.11,0.078,,0.035,0.119
04/26,0.09,0.091,,0.124,0.09,,0.043,0.133
04/27,0.094,0.095,,0.132,0.093,,0.042,0.141
04/28,0.102,0.104,,0.143,0.099,,0.047,0.149
04/29,0.111,0.112,,0.155,0.108,,0.057,0.174
04/30,0.108,0.111,,0.147,0.103,,0.058,0.161
05/01,0.128,0.132,,0.17,0.12,,0.057,0.186
05/02,0.152,0.155,,0.193,0.138,,0.068,0.213
05/03,0.148,0.152,,0.182,0.132,,0.067,0.196
05/04,0.161,0.165,,0.192,0.142,,0.079,0.215
05/05,0.162,0.165,,0.188,0.141,,0.078,0.206
05/06,0.168,0.172,,0.195,0.147,,0.082,0.212
05/07,0.139,0.142,,0.162,0.122,,0.066,0.177
05/08,0.148,0.153,,0.167,0.128,,0.08,0.193
05/09,0.152,0.157,,0.168,0.131,,0.087,0.198
05/10,0.148,0.154,,0.164,0.128,,0.078,0.179
05/11,0.165,0.172,,0.174,0.138,,0.095,0.193
05/12,0.205,0.215,,0.215,0.172,,0.115,0.24
05/13,0.218,0.23,,0.226,0.181,,0.128,0.252
05/14,0.214,0.225,,0.217,0.175,,0.127,0.243
05/15,0.182,0.19,,0.184,0.149,,0.105,0.203
05/16,0.191,0.201,,0.189,0.156,,0.112,0.214
05/17,0.175,0.188,,0.172,0.142,,0.115,0.197
05/18,0.188,0.203,,0.185,0.153,,0.128,0.212
05/19,0.188,0.203,,0.182,0.152,,0.125,0.206
05/20,0.155,0.165,0.05,0.15,0.125,0.058,0.106,0.173
05/21,0.165,0.179,0.05,0.158,0.131,0.055,0.122,0.185
05/22,0.185,0.199,0.03,0.175,0.147,0.06,0.134,0.202
05/23,0.155,0.172,0.02,0.149,0.125,0.062,0.122,0.176
05/24,0.175,0.196,0.05,0.166,0.142,0.062,0.145,0.201
05/25,0.176,0.2,0.07,0.166,0.14,0.065,0.15,0.2
05/26,0.178,0.202,0.08,0.165,0.141,0.077,0.159,0.198
05/27,0.187,0.218,0.09,0.176,0.148,0.077,0.169,0.21
05/28,0.197,0.23,0.09,0.187,0.158,0.068,0.184,0.225
05/29,0.186,0.218,0.1,0.176,0.149,0.07,0.181,0.215
05/30,0.181,0.212,0.1,0.171,0.145,0.06,0.179,0.21
05/31,0.21,0.245,0.11,0.196,0.168,0.073,0.209,0.24
06/01,0.208,0.244,0.08,0.195,0.166,0.078,0.211,0.238
06/02,0.221,0.258,0.09,0.208,0.175,0.086,0.228,0.252
06/03,0.215,0.252,0.085,0.201,0.172,0.086,0.228,0.246
06/04,0.226,0.265,0.085,0.213,0.181,0.088,0.241,0.261
06/05,0.246,0.289,0.09,0.232,0.195,0.092,0.265,0.284
06/06,0.232,0.273,0.081,0.22,0.184,0.088,0.253,0.268
06/07,0.208,0.245,0.079,0.198,0.166,0.083,0.232,0.243
06/08,0.202,0.236,0.078,0.189,0.161,0.081,0.225,0.233
06/09,0.223,0.262,0.086,0.209,0.178,0.094,0.252,0.26
06/10,0.235,0.275,0.083,0.22,0.186,0.095,0.265,0.272
06/11,0.215,0.255,0.075,0.204,0.172,0.091,0.246,0.252
06/12,0.197,0.232,0.074,0.185,0.158,0.087,0.225,0.23
06/13,0.227,0.268,0.083,0.215,0.182,0.104,0.263,0.266
06/14,0.235,0.275,0.085,0.222,0.186,0.108,0.268,0.273
06/15,0.224,0.262,0.085,0.21,0.178,0.106,0.258,0.26
06/16,0.226,0.265,0.085,0.211,0.182,0.112,0.261,0.264
06/17,0.235,0.275,0.088,0.22,0.187,0.12,0.273,0.275
06/18,0.212,0.248,0.084,0.199,0.169,0.111,0.247,0.248
