# Station Code,sigm
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,PEAS,POTA,SGRN,WGRN
02/12,,,,,,,,0.01
02/13,,,,,,,,0.01
02/14,,,,,,,,0.02
02/15,,,,,,,,0.01
02/16,,,,,,,,0.02
02/17,,,,,,,,0.02
02/18,,,,,,,,0.02
02/19,,,,,,,,0.02
02/20,,,,,,,,0.02
02/21,,,,,,,,0.02
02/22,,,,,,,,0.02
02/23,,,,,,,,0.01
02/24,,,,,,,,0.02
02/25,,,,,,,,0.03
02/26,,,,,,,,0.015
02/27,,,,,,,,0.02
02/28,,,,,,,,0.035
02/29,,,,,,,,0.03
03/01,,,,,,,,0.03
03/02,,,,,,,,0.025
03/03,,,,,,,,0.025
03/04,,,,,,,,0.045
03/05,,,0.01,0.02,,,,0.035
03/06,,,0.0,0.01,,,,0.03
03/07,,,0.01,0.02,,,,0.04
03/08,,,0.02,0.02,,,,0.05
03/09,,,0.02,0.02,,,,0.063
03/10,0.03,0.03,0.02,0.037,,,,0.058
03/11,0.01,0.01,0.017,0.023,,,,0.034
03/12,0.01,0.01,0.023,0.03,,,,0.044
03/13,0.02,0.02,0.03,0.033,,,,0.048
03/14,0.01,0.01,0.023,0.023,,,,0.036
03/15,0.013,0.013,0.018,0.02,,,,0.032
03/16,0.02,0.02,0.028,0.03,,,,0.052
03/17,0.007,0.007,0.018,0.018,,,,0.03
03/18,0.013,0.013,0.024,0.024,,,,0.04
03/19,0.023,0.023,0.038,0.034,,,,0.054
03/20,0.022,0.022,0.04,0.038,,,,0.06
03/21,0.022,0.022,0.044,0.038,,,,0.036
03/22,0.02,0.02,0.042,0.032,,,,0.035
03/23,0.024,0.024,0.048,0.038,,,,0.043
03/24,0.028,0.028,0.058,0.04,,,,0.045
03/25,0.026,0.026,0.029,0.025,,,,0.039
03/26,0.032,0.032,0.032,0.029,,,,0.045
03/27,0.03,0.03,0.031,0.027,,,,0.043
03/28,0.042,0.042,0.039,0.035,,,,0.055
03/29,0.048,0.048,0.045,0.039,,,,0.06
03/30,0.052,0.052,0.045,0.038,,,,0.062
03/31,0.05,0.05,0.048,0.04,,,,0.061
04/01,0.035,0.033,0.054,0.043,,,0.02,0.064
04/02,0.037,0.037,0.063,0.048,,,0.02,0.07
04/03,0.045,0.045,0.075,0.054,,,0.035,0.076
04/04,0.033,0.034,0.059,0.043,,,0.015,0.062
04/05,0.039,0.039,0.062,0.045,0.02,,0.02,0.067
04/06,0.047,0.047,0.07,0.053,0.03,,0.03,0.078
04/07,0.056,0.056,0.086,0.063,0.03,,0.03,0.094
04/08,0.064,0.065,0.088,0.068,0.04,,0.04,0.096
04/09,0.067,0.067,0.093,0.068,0.035,,0.03,0.102
04/10,0.06,0.061,0.084,0.063,0.035,,0.034,0.095
04/11,0.061,0.062,0.085,0.063,0.035,,0.032,0.092
04/12,0.044,0.045,0.065,0.045,0.018,,0.018,0.068
04/13,0.062,0.063,0.084,0.061,0.03,,0.03,0.09
04/14,0.062,0.063,0.087,0.063,0.025,,0.026,0.092
04/15,0.057,0.058,0.081,0.057,0.022,,0.023,0.086
04/16,0.07,0.072,0.091,0.065,0.025,,0.026,0.101
04/17,0.082,0.084,0.102,0.074,0.03,,0.031,0.112
04/18,0.084,0.085,0.101,0.075,0.032,,0.031,0.112
