# Station Code,slwi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,ALFS,LAWN,SGRN,WGRN
03/02,,,,,,0.01
03/03,,,,,,0.02
03/04,,,,,,0.02
03/05,,,,0.01,,0.03
03/06,,,,0.02,,0.03
03/07,,,,0.02,,0.03
03/08,,,,0.02,,0.05
03/09,,,,0.02,,0.05
03/10,0.02,0.02,,0.02,,0.04
03/11,0.01,0.01,,0.01,,0.02
03/12,0.02,0.02,,0.03,,0.05
03/13,0.02,0.02,,0.03,,0.04
03/14,0.01,0.01,,0.01,,0.01
03/15,0.0,0.0,0.0,0.01,,0.01
03/16,0.02,0.02,0.02,0.03,,0.035
03/17,0.01,0.01,0.0,0.015,,0.025
03/18,0.02,0.02,0.02,0.035,,0.04
03/19,0.02,0.02,0.01,0.03,,0.04
03/20,0.02,0.02,0.015,0.027,,0.03
03/21,0.025,0.025,0.02,0.04,,0.04
03/22,0.02,0.02,0.015,0.027,,0.03
03/23,0.01,0.01,0.01,0.023,,0.024
03/24,0.02,0.02,0.015,0.027,,0.028
03/25,0.013,0.013,0.013,0.022,0.01,0.026
03/26,0.023,0.023,0.02,0.032,0.02,0.04
03/27,0.03,0.03,0.023,0.036,0.03,0.042
03/28,0.033,0.033,0.03,0.04,0.03,0.044
03/29,0.04,0.04,0.037,0.046,0.02,0.054
03/30,0.047,0.047,0.043,0.052,0.03,0.06
03/31,0.043,0.043,0.04,0.052,0.02,0.056
04/01,0.036,0.036,0.034,0.06,0.02,0.055
04/02,0.042,0.042,0.04,0.068,0.02,0.052
04/03,0.038,0.038,0.036,0.062,0.02,0.049
04/04,0.034,0.034,0.032,0.06,0.03,0.049
04/05,0.042,0.042,0.042,0.048,0.02,0.052
04/06,0.044,0.044,0.044,0.053,0.015,0.054
04/07,0.06,0.06,0.058,0.062,0.03,0.066
04/08,0.068,0.068,0.068,0.068,0.03,0.069
04/09,0.07,0.07,0.068,0.07,0.03,0.075
04/10,0.054,0.054,0.052,0.074,0.035,0.069
04/11,0.061,0.061,0.06,0.081,0.045,0.079
04/12,0.049,0.049,0.048,0.07,0.035,0.07
04/13,0.05,0.05,0.049,0.075,0.04,0.072
04/14,0.052,0.052,0.051,0.079,0.04,0.077
04/15,0.061,0.061,0.06,0.08,0.035,0.087
04/16,0.065,0.065,0.064,0.083,0.037,0.091
04/17,0.086,0.086,0.086,0.103,0.053,0.111
04/18,0.087,0.089,0.087,0.101,0.052,0.108
04/19,0.089,0.089,0.088,0.103,0.048,0.111
04/20,0.077,0.078,0.077,0.093,0.045,0.102
04/21,0.091,0.092,0.091,0.116,0.058,0.122
04/22,0.089,0.09,0.089,0.113,0.062,0.121
04/23,0.081,0.083,0.082,0.101,0.05,0.11
04/24,0.084,0.087,0.087,0.102,0.06,0.112
04/25,0.073,0.076,0.074,0.091,0.034,0.101
04/26,0.098,0.1,0.1,0.117,0.051,0.128
04/27,0.104,0.111,0.11,0.127,0.055,0.138
04/28,0.112,0.12,0.119,0.128,0.065,0.142
04/29,0.114,0.12,0.12,0.131,0.062,0.146
04/30,0.124,0.132,0.132,0.14,0.07,0.159
05/01,0.134,0.144,0.144,0.148,0.075,0.169
05/02,0.143,0.156,0.156,0.161,0.077,0.182
05/03,0.134,0.144,0.144,0.146,0.074,0.167
05/04,0.158,0.169,0.169,0.17,0.09,0.193
05/05,0.119,0.128,0.128,0.118,0.067,0.139
05/06,0.126,0.134,0.134,0.128,0.067,0.15
05/07,0.132,0.144,0.144,0.133,0.077,0.157
05/08,0.156,0.171,0.171,0.158,0.098,0.188
05/09,0.14,0.151,0.151,0.136,0.097,0.166
05/10,0.16,0.177,0.177,0.158,0.117,0.19
05/11,0.162,0.179,0.179,0.158,0.118,0.191
05/12,0.158,0.173,0.173,0.152,0.109,0.186
05/13,0.157,0.174,0.174,0.154,0.101,0.186
05/14,0.158,0.176,0.176,0.156,0.111,0.188
05/15,0.143,0.156,0.156,0.137,0.108,0.167
05/16,0.14,0.158,0.158,0.137,0.113,0.167
05/17,0.132,0.146,0.146,0.122,0.111,0.153
05/18,0.152,0.171,0.171,0.144,0.13,0.18
05/19,0.146,0.166,0.166,0.138,0.133,0.172
05/20,0.136,0.154,0.154,0.129,0.123,0.16
05/21,0.171,0.198,0.198,0.164,0.164,0.202
05/22,0.158,0.183,0.183,0.15,0.153,0.186
05/23,0.158,0.182,0.182,0.148,0.158,0.183
05/24,0.144,0.17,0.17,0.138,0.149,0.171
05/25,0.129,0.151,0.151,0.121,0.131,0.152
05/26,0.163,0.191,0.191,0.152,0.17,0.192
05/27,0.178,0.206,0.206,0.167,0.188,0.207
05/28,0.184,0.219,0.219,0.176,0.202,0.219
05/29,0.202,0.238,0.238,0.19,0.222,0.238
05/30,0.197,0.232,0.232,0.187,0.217,0.232
05/31,0.167,0.198,0.198,0.158,0.188,0.198
06/01,0.173,0.203,0.203,0.162,0.194,0.203
06/02,0.193,0.227,0.227,0.181,0.219,0.227
06/03,0.222,0.261,0.261,0.209,0.253,0.261
06/04,0.201,0.236,0.236,0.188,0.229,0.236
06/05,0.192,0.224,0.224,0.178,0.218,0.224
06/06,0.177,0.208,0.208,0.168,0.203,0.208
06/07,0.194,0.228,0.228,0.182,0.224,0.228
06/08,0.178,0.209,0.209,0.166,0.207,0.209
06/09,0.147,0.171,0.171,0.137,0.171,0.171
06/10,0.154,0.182,0.182,0.147,0.181,0.182
06/11,0.189,0.221,0.221,0.178,0.22,0.221
06/12,0.192,0.229,0.229,0.183,0.228,0.229
06/13,0.18,0.212,0.212,0.17,0.211,0.212
06/14,0.192,0.226,0.226,0.18,0.226,0.226
06/15,0.172,0.202,0.202,0.161,0.202,0.202
06/16,0.162,0.191,0.191,0.154,0.191,0.191
