# Station Code,spli
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
03/02,,,,,,,,0.01
03/03,,,,,,,,0.01
03/04,,,,,,,,0.02
03/05,,,,,0.01,0.02,,0.02
03/06,,,,,0.01,0.02,,0.02
03/07,,,,,0.01,0.02,,0.03
03/08,,,,,0.02,0.03,,0.04
03/09,,,,,0.02,0.03,,0.04
03/10,0.02,0.02,,,0.02,0.03,,0.04
03/11,0.0,0.0,,,0.01,0.01,,0.01
03/12,0.02,0.02,,,0.03,0.03,,0.05
03/13,0.02,0.02,,,0.03,0.03,,0.04
03/14,0.01,0.01,,,0.02,0.02,,0.02
03/15,0.01,0.01,,,0.01,0.01,,0.01
03/16,0.02,0.02,,,0.025,0.025,,0.035
03/17,0.01,0.01,,,0.01,0.015,,0.02
03/18,0.01,0.01,,,0.025,0.02,,0.03
03/19,0.02,0.02,,,0.025,0.025,,0.03
03/20,0.015,0.015,,,0.027,0.03,,0.028
03/21,0.025,0.025,,,0.037,0.03,,0.032
03/22,0.02,0.02,,,0.03,0.027,,0.026
03/23,0.01,0.01,,,0.023,0.027,,0.024
03/24,0.02,0.02,,,0.03,0.023,,0.03
03/25,0.01,0.01,,,0.016,0.016,0.01,0.022
03/26,0.02,0.02,,,0.026,0.026,0.02,0.032
03/27,0.027,0.027,,,0.03,0.026,0.02,0.036
03/28,0.033,0.033,,,0.038,0.03,0.03,0.044
03/29,0.033,0.033,,,0.044,0.034,0.02,0.046
03/30,0.043,0.043,,,0.048,0.036,0.03,0.054
03/31,0.043,0.043,,,0.048,0.034,0.03,0.048
04/01,0.028,0.028,0.05,0.05,0.048,0.036,0.02,0.045
04/02,0.036,0.036,0.03,0.03,0.06,0.044,0.02,0.049
04/03,0.034,0.034,0.06,0.06,0.058,0.036,0.02,0.045
04/04,0.036,0.036,0.08,0.08,0.056,0.04,0.03,0.044
04/05,0.04,0.04,0.085,0.085,0.043,0.034,0.015,0.048
04/06,0.036,0.036,0.065,0.065,0.041,0.031,0.015,0.043
04/07,0.05,0.05,0.075,0.075,0.055,0.043,0.025,0.059
04/08,0.056,0.056,0.08,0.08,0.059,0.043,0.03,0.061
04/09,0.062,0.062,0.09,0.09,0.062,0.049,0.03,0.069
04/10,0.046,0.046,0.07,0.07,0.064,0.049,0.035,0.061
04/11,0.053,0.053,0.055,0.055,0.071,0.052,0.045,0.07
04/12,0.044,0.044,0.085,0.085,0.064,0.048,0.035,0.062
04/13,0.046,0.046,0.12,0.12,0.064,0.049,0.035,0.064
04/14,0.043,0.043,0.125,0.125,0.066,0.048,0.025,0.067
04/15,0.05,0.05,0.09,0.09,0.069,0.05,0.03,0.072
04/16,0.052,0.054,0.087,0.087,0.071,0.052,0.03,0.076
04/17,0.071,0.071,0.093,0.093,0.088,0.064,0.043,0.093
04/18,0.071,0.072,0.107,0.107,0.087,0.061,0.045,0.093
04/19,0.072,0.074,0.107,0.107,0.088,0.064,0.04,0.092
04/20,0.066,0.067,0.1,0.1,0.082,0.061,0.04,0.09
04/21,0.077,0.077,0.077,0.077,0.098,0.073,0.048,0.104
04/22,0.08,0.081,0.093,0.093,0.101,0.074,0.055,0.107
04/23,0.072,0.073,0.093,0.093,0.094,0.068,0.048,0.1
04/24,0.071,0.073,0.077,0.077,0.087,0.066,0.052,0.096
04/25,0.064,0.066,0.097,0.097,0.079,0.059,0.03,0.088
04/26,0.08,0.083,0.107,0.107,0.096,0.072,0.04,0.104
04/27,0.092,0.097,0.133,0.133,0.113,0.082,0.049,0.124
04/28,0.094,0.1,0.133,0.133,0.108,0.082,0.052,0.121
04/29,0.099,0.103,0.143,0.143,0.116,0.086,0.054,0.13
04/30,0.106,0.112,0.13,0.13,0.119,0.092,0.058,0.134
05/01,0.116,0.123,0.15,0.15,0.127,0.096,0.062,0.14
05/02,0.12,0.128,0.15,0.15,0.132,0.103,0.062,0.148
05/03,0.116,0.124,0.133,0.133,0.126,0.099,0.061,0.142
05/04,0.131,0.139,0.16,0.16,0.141,0.111,0.074,0.159
05/05,0.102,0.113,0.07,0.07,0.107,0.086,0.06,0.124
05/06,0.118,0.126,0.12,0.12,0.118,0.097,0.062,0.139
05/07,0.116,0.124,0.103,0.103,0.117,0.093,0.067,0.137
05/08,0.129,0.14,0.117,0.117,0.129,0.106,0.082,0.156
05/09,0.112,0.121,0.097,0.097,0.109,0.091,0.078,0.132
05/10,0.138,0.151,0.123,0.123,0.133,0.112,0.099,0.164
05/11,0.146,0.159,0.137,0.137,0.14,0.118,0.104,0.171
05/12,0.136,0.15,0.147,0.147,0.132,0.111,0.092,0.161
05/13,0.141,0.154,0.18,0.18,0.138,0.112,0.092,0.167
05/14,0.136,0.149,0.17,0.17,0.132,0.11,0.096,0.16
05/15,0.123,0.134,0.16,0.163,0.118,0.1,0.092,0.143
05/16,0.127,0.141,0.187,0.187,0.122,0.101,0.102,0.15
05/17,0.121,0.134,0.2,0.203,0.114,0.097,0.1,0.142
05/18,0.134,0.15,0.19,0.193,0.127,0.108,0.112,0.158
05/19,0.134,0.151,0.143,0.143,0.128,0.108,0.12,0.158
05/20,0.121,0.139,0.13,0.133,0.117,0.099,0.111,0.144
05/21,0.146,0.168,0.15,0.15,0.137,0.117,0.139,0.171
05/22,0.158,0.183,0.183,0.183,0.151,0.126,0.152,0.186
05/23,0.136,0.158,0.12,0.12,0.129,0.109,0.137,0.159
05/24,0.136,0.158,0.12,0.123,0.129,0.108,0.137,0.159
05/25,0.109,0.129,0.12,0.123,0.104,0.087,0.111,0.13
05/26,0.153,0.178,0.157,0.157,0.142,0.122,0.158,0.179
05/27,0.162,0.189,0.153,0.157,0.152,0.128,0.173,0.19
05/28,0.158,0.186,0.13,0.13,0.148,0.127,0.171,0.186
05/29,0.178,0.209,0.173,0.177,0.167,0.142,0.192,0.209
05/30,0.168,0.198,0.18,0.183,0.159,0.134,0.187,0.198
05/31,0.151,0.176,0.197,0.197,0.141,0.121,0.167,0.176
06/01,0.149,0.176,0.2,0.2,0.141,0.119,0.169,0.176
06/02,0.176,0.206,0.227,0.227,0.164,0.141,0.198,0.206
06/03,0.187,0.219,0.21,0.21,0.173,0.15,0.211,0.219
06/04,0.174,0.207,0.21,0.213,0.164,0.141,0.2,0.207
06/05,0.163,0.192,0.183,0.183,0.153,0.131,0.187,0.192
06/06,0.163,0.192,0.183,0.183,0.153,0.132,0.189,0.192
06/07,0.169,0.199,0.183,0.183,0.159,0.134,0.197,0.199
06/08,0.151,0.178,0.17,0.17,0.142,0.123,0.177,0.178
06/09,0.123,0.147,0.097,0.103,0.118,0.1,0.146,0.147
06/10,0.136,0.159,0.147,0.147,0.128,0.109,0.158,0.159
06/11,0.163,0.193,0.147,0.15,0.154,0.132,0.192,0.193
06/12,0.174,0.206,0.187,0.19,0.163,0.14,0.204,0.206
