# Station Code,tabi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
02/12,,,,,,,,0.02
02/13,,,,,,,,0.02
02/14,,,,,,,,0.03
02/15,,,,,,,,0.02
02/16,,,,,,,,0.03
02/17,,,,,,,,0.03
02/18,,,,,,,,0.03
02/19,,,,,,,,0.05
02/20,,,,,,,,0.04
02/21,,,,,,,,0.04
02/22,,,,,,,,0.06
02/23,,,,,,,,0.06
02/24,,,,,,,,0.04
02/25,,,,,,,,0.04
02/26,,,,,,,,0.035
02/27,,,,,,,,0.025
02/28,,,,,,,,0.05
02/29,,,,,,,,0.03
03/01,,,,,,,,0.05
03/02,,,,,,,,0.05
03/03,,,,,,,,0.045
03/04,,,,,,,,0.045
03/05,,,0.07,0.07,0.02,0.03,,0.05
03/06,,,0.03,0.03,0.01,0.01,,0.05
03/07,,,0.05,0.05,0.01,0.02,,0.065
03/08,,,0.04,0.04,0.01,0.02,,0.06
03/09,,,0.05,0.05,0.01,0.02,,0.07
03/10,0.02,0.02,0.08,0.08,0.03,0.04,,0.06
03/11,0.02,0.02,0.07,0.07,0.03,0.03,,0.062
03/12,0.02,0.02,0.08,0.08,0.04,0.03,,0.052
03/13,0.01,0.01,0.04,0.04,0.02,0.02,,0.05
03/14,0.02,0.02,0.07,0.07,0.05,0.03,,0.068
03/15,0.02,0.02,0.075,0.075,0.028,0.033,,0.072
03/16,0.02,0.02,0.065,0.065,0.022,0.028,,0.052
03/17,0.01,0.01,0.077,0.077,0.028,0.033,,0.068
03/18,0.03,0.03,0.077,0.077,0.033,0.037,,0.068
03/19,0.04,0.04,0.098,0.098,0.042,0.042,,0.083
03/20,0.03,0.03,0.103,0.103,0.05,0.045,,0.078
03/21,0.025,0.025,0.083,0.083,0.037,0.037,,0.055
03/22,0.025,0.025,0.095,0.095,0.053,0.04,,0.05
03/23,0.033,0.033,0.105,0.105,0.065,0.05,,0.062
03/24,0.04,0.04,0.12,0.12,0.08,0.058,,0.071
03/25,0.035,0.035,0.083,0.083,0.048,0.04,,0.065
03/26,0.037,0.037,0.091,0.091,0.051,0.044,,0.072
03/27,0.042,0.042,0.103,0.103,0.058,0.05,,0.08
03/28,0.054,0.054,0.128,0.128,0.072,0.063,,0.103
03/29,0.052,0.052,0.112,0.112,0.067,0.057,,0.093
03/30,0.066,0.066,0.112,0.112,0.07,0.058,,0.097
03/31,0.07,0.07,0.129,0.129,0.084,0.064,,0.11
04/01,0.047,0.047,0.114,0.114,0.077,0.059,,0.097
04/02,0.053,0.053,0.114,0.114,0.086,0.061,,0.101
04/03,0.057,0.057,0.123,0.123,0.096,0.067,,0.107
04/04,0.058,0.058,0.132,0.132,0.1,0.07,,0.112
04/05,0.06,0.06,0.114,0.114,0.093,0.064,,0.103
04/06,0.066,0.066,0.13,0.13,0.103,0.072,,0.114
04/07,0.073,0.073,0.136,0.136,0.112,0.079,,0.122
04/08,0.098,0.098,0.172,0.172,0.142,0.101,,0.153
04/09,0.107,0.107,0.176,0.176,0.147,0.107,,0.158
04/10,0.1,0.1,0.172,0.172,0.144,0.102,0.042,0.156
04/11,0.091,0.092,0.147,0.147,0.126,0.091,0.038,0.138
04/12,0.093,0.094,0.141,0.141,0.122,0.089,0.034,0.136
04/13,0.104,0.106,0.163,0.163,0.142,0.103,0.038,0.156
04/14,0.093,0.094,0.138,0.138,0.121,0.088,0.032,0.132
04/15,0.098,0.099,0.141,0.141,0.122,0.088,0.031,0.133
04/16,0.132,0.133,0.179,0.18,0.158,0.116,0.038,0.176
04/17,0.148,0.15,0.197,0.197,0.171,0.13,0.044,0.193
04/18,0.15,0.152,0.193,0.194,0.17,0.129,0.043,0.193
04/19,0.163,0.167,0.21,0.21,0.184,0.139,0.048,0.208
04/20,0.16,0.163,0.201,0.201,0.178,0.137,0.05,0.202
04/21,0.156,0.162,0.191,0.192,0.169,0.133,0.048,0.196
04/22,0.172,0.18,0.211,0.213,0.187,0.149,0.053,0.217
04/23,0.141,0.147,0.172,0.172,0.149,0.12,0.046,0.174
04/24,0.127,0.132,0.154,0.156,0.136,0.108,0.042,0.156
04/25,0.124,0.129,0.151,0.151,0.13,0.106,0.042,0.153
04/26,0.149,0.157,0.178,0.178,0.154,0.124,0.054,0.182
04/27,0.157,0.168,0.188,0.188,0.161,0.131,0.064,0.192
04/28,0.17,0.182,0.201,0.201,0.171,0.14,0.076,0.208
04/29,0.18,0.194,0.211,0.213,0.18,0.148,0.086,0.22
04/30,0.173,0.188,0.199,0.201,0.172,0.142,0.088,0.208
05/01,0.185,0.203,0.219,0.221,0.188,0.153,0.095,0.225
05/02,0.206,0.224,0.237,0.238,0.201,0.167,0.112,0.243
05/03,0.199,0.218,0.231,0.235,0.197,0.161,0.116,0.237
05/04,0.193,0.213,0.222,0.223,0.188,0.157,0.123,0.228
05/05,0.194,0.212,0.222,0.223,0.186,0.157,0.13,0.227
05/06,0.206,0.225,0.23,0.233,0.195,0.163,0.14,0.24
05/07,0.171,0.187,0.191,0.193,0.163,0.138,0.123,0.202
05/08,0.179,0.198,0.199,0.201,0.169,0.143,0.137,0.21
05/09,0.202,0.227,0.227,0.229,0.193,0.162,0.164,0.238
05/10,0.185,0.208,0.206,0.207,0.175,0.148,0.157,0.216
05/11,0.19,0.219,0.214,0.216,0.18,0.153,0.169,0.224
05/12,0.22,0.253,0.248,0.249,0.207,0.176,0.194,0.259
05/13,0.212,0.246,0.238,0.239,0.199,0.169,0.193,0.249
05/14,0.204,0.239,0.23,0.231,0.194,0.165,0.194,0.24
05/15,0.191,0.221,0.213,0.213,0.178,0.151,0.184,0.222
05/16,0.189,0.221,0.211,0.212,0.175,0.151,0.185,0.221
05/17,0.181,0.21,0.202,0.203,0.168,0.143,0.184,0.211
05/18,0.196,0.228,0.217,0.221,0.184,0.157,0.202,0.229
05/19,0.174,0.205,0.193,0.197,0.164,0.139,0.18,0.205
05/20,0.155,0.182,0.173,0.176,0.146,0.122,0.163,0.182
05/21,0.179,0.209,0.199,0.202,0.167,0.141,0.19,0.209
05/22,0.161,0.19,0.179,0.183,0.152,0.128,0.174,0.19
05/23,0.161,0.19,0.178,0.183,0.152,0.129,0.178,0.19
05/24,0.182,0.213,0.2,0.202,0.171,0.146,0.204,0.213
05/25,0.186,0.219,0.206,0.21,0.175,0.149,0.209,0.219
05/26,0.19,0.224,0.211,0.215,0.181,0.154,0.216,0.224
05/27,0.186,0.22,0.205,0.212,0.175,0.149,0.212,0.22
05/28,0.215,0.252,0.235,0.242,0.201,0.172,0.246,0.252
05/29,0.217,0.255,0.236,0.244,0.205,0.172,0.249,0.255
05/30,0.207,0.244,0.226,0.235,0.195,0.165,0.239,0.244
05/31,0.214,0.251,0.232,0.241,0.201,0.17,0.247,0.251
06/01,0.218,0.256,0.237,0.245,0.205,0.172,0.254,0.256
06/02,0.232,0.274,0.25,0.262,0.22,0.186,0.272,0.274
06/03,0.246,0.288,0.26,0.275,0.23,0.197,0.287,0.288
06/04,0.256,0.301,0.273,0.287,0.242,0.206,0.3,0.301
06/05,0.248,0.292,0.263,0.278,0.234,0.199,0.291,0.292
06/06,0.261,0.306,0.274,0.292,0.245,0.207,0.305,0.306
06/07,0.243,0.286,0.256,0.27,0.23,0.194,0.286,0.286
06/08,0.243,0.285,0.251,0.271,0.226,0.193,0.285,0.285
06/09,0.253,0.296,0.261,0.281,0.237,0.201,0.296,0.296
06/10,0.255,0.299,0.262,0.285,0.238,0.202,0.299,0.299
06/11,0.244,0.288,0.254,0.274,0.232,0.196,0.288,0.288
06/12,0.232,0.271,0.236,0.259,0.218,0.184,0.271,0.271
06/13,0.271,0.318,0.274,0.301,0.253,0.218,0.318,0.317
