# Station Code,teri
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,RAPE,SGRN,WGRN
03/01,0.02,0.02,,,,,,,,,
03/02,0.01,0.01,,,,,,,,,
03/03,0.01,0.01,,,,,,,,,
03/04,0.01,0.01,,,,,,,,,
03/05,0.01,0.01,,,,,0.02,,,,
03/06,0.02,0.02,,,,,0.03,,,,
03/07,0.02,0.02,,,,,0.02,,,,
03/08,0.03,0.03,,,,,0.04,,,,
03/09,0.03,0.03,,,,,0.04,,,,
03/10,0.03,0.03,,,,,0.04,,,,
03/11,0.04,0.04,,,,,0.04,,,,
03/12,0.04,0.04,,,,,0.04,,,,
03/13,0.04,0.04,,,,,0.04,,,,
03/14,0.07,0.07,,,,,0.07,,,,
03/15,0.11,0.11,,,,,0.1,,,,0.07
03/16,0.06,0.06,,,,0.01,0.035,,,,0.03
03/17,0.08,0.08,,,,0.01,0.045,,,,0.035
03/18,0.06,0.06,,,,0.02,0.04,,,,0.03
03/19,0.07,0.07,,,,0.02,0.045,,,,0.04
03/20,0.055,0.055,,,,0.027,0.047,,0.04,,0.04
03/21,0.065,0.065,,,,0.027,0.047,,0.05,,0.038
03/22,0.05,0.05,,,,0.023,0.04,,0.04,,0.036
03/23,0.07,0.07,,,,0.037,0.05,,0.04,,0.046
03/24,0.05,0.05,,,,0.04,0.053,,0.02,,0.05
03/25,0.04,0.04,,,,0.028,0.04,,0.03,,0.05
03/26,0.05,0.05,,,,0.042,0.048,,0.03,,0.062
03/27,0.052,0.052,,,,0.045,0.05,,0.04,,0.062
03/28,0.068,0.068,,,,0.06,0.065,,0.06,,0.077
03/29,0.06,0.06,,,,0.057,0.053,,0.04,,0.068
03/30,0.062,0.062,,,,0.063,0.057,,0.06,,0.073
03/31,0.085,0.085,,,,0.08,0.065,,0.09,,0.085
04/01,0.045,0.045,,0.095,0.095,0.062,0.05,,0.05,,0.061
04/02,0.047,0.047,,0.115,0.115,0.072,0.055,,0.04,,0.062
04/03,0.055,0.055,,0.115,0.115,0.08,0.058,,0.06,,0.069
04/04,0.065,0.065,,0.125,0.125,0.092,0.067,,0.07,,0.082
04/05,0.072,0.072,,0.096,0.096,0.076,0.062,,0.09,0.03,0.08
04/06,0.073,0.073,,0.101,0.101,0.078,0.061,,0.09,0.02,0.082
04/07,0.08,0.08,,0.109,0.109,0.088,0.069,,0.06,0.04,0.093
04/08,0.103,0.103,,0.132,0.132,0.108,0.082,,0.08,0.04,0.116
04/09,0.105,0.105,,0.124,0.124,0.107,0.083,,0.07,0.04,0.113
04/10,0.073,0.073,,0.128,0.128,0.1,0.081,,0.11,0.05,0.112
04/11,0.087,0.088,,0.13,0.13,0.11,0.088,,0.19,0.04,0.118
04/12,0.074,0.074,,0.118,0.118,0.101,0.079,,0.14,0.03,0.104
04/13,0.089,0.09,,0.136,0.136,0.118,0.089,,0.19,0.02,0.121
04/14,0.082,0.082,,0.122,0.122,0.111,0.083,,0.19,0.03,0.112
04/15,0.064,0.066,,0.109,0.109,0.096,0.069,,0.12,0.027,0.098
04/16,0.097,0.097,,0.146,0.146,0.13,0.094,,0.18,0.033,0.134
04/17,0.11,0.111,,0.163,0.163,0.148,0.107,,0.18,0.04,0.15
04/18,0.12,0.122,,0.166,0.166,0.151,0.111,,0.21,0.047,0.156
04/19,0.123,0.124,,0.172,0.172,0.157,0.116,,0.19,0.05,0.161
04/20,0.132,0.134,,0.179,0.179,0.163,0.12,,0.19,0.05,0.171
04/21,0.124,0.127,,0.164,0.164,0.148,0.11,,0.18,0.043,0.157
04/22,0.149,0.152,,0.189,0.189,0.174,0.131,,0.24,0.053,0.183
04/23,0.123,0.128,,0.152,0.152,0.139,0.104,,0.26,0.05,0.151
04/24,0.116,0.12,,0.149,0.149,0.134,0.101,,0.18,0.05,0.148
04/25,0.114,0.118,,0.149,0.149,0.134,0.099,,0.075,0.045,0.144
04/26,0.13,0.133,,0.161,0.161,0.146,0.112,,0.07,0.054,0.161
04/27,0.14,0.148,,0.171,0.171,0.157,0.118,,0.1,0.054,0.173
04/28,0.143,0.15,,0.172,0.172,0.153,0.12,,0.12,0.056,0.172
04/29,0.159,0.168,,0.191,0.191,0.17,0.131,,0.16,0.062,0.192
04/30,0.15,0.158,,0.174,0.174,0.157,0.124,,0.125,0.055,0.18
05/01,0.166,0.178,,0.202,0.202,0.182,0.142,,0.088,0.065,0.204
05/02,0.168,0.178,,0.2,0.2,0.179,0.14,,0.09,0.069,0.202
05/03,0.176,0.188,,0.209,0.209,0.186,0.147,,0.074,0.072,0.214
05/04,0.179,0.192,,0.209,0.209,0.183,0.148,,0.078,0.08,0.213
05/05,0.166,0.178,,0.196,0.196,0.172,0.139,0.05,0.07,0.079,0.201
05/06,0.168,0.18,,0.197,0.198,0.173,0.14,0.04,0.078,0.091,0.203
05/07,0.153,0.165,,0.179,0.18,0.156,0.127,0.04,0.076,0.077,0.185
05/08,0.153,0.167,,0.18,0.18,0.154,0.128,,0.048,0.087,0.188
05/09,0.168,0.185,,0.193,0.194,0.169,0.138,0.08,0.098,0.092,0.202
05/10,0.157,0.171,,0.177,0.177,0.153,0.126,0.065,0.083,0.097,0.186
05/11,0.168,0.187,,0.194,0.194,0.165,0.138,0.068,0.08,0.109,0.202
05/12,0.191,0.213,,0.22,0.221,0.189,0.154,0.073,0.085,0.124,0.23
05/13,0.203,0.228,,0.23,0.235,0.198,0.165,0.083,0.103,0.144,0.24
05/14,0.194,0.215,,0.219,0.22,0.185,0.156,0.072,0.095,0.14,0.226
05/15,0.168,0.188,,0.19,0.191,0.161,0.135,0.05,0.07,0.114,0.198
05/16,0.173,0.192,,0.193,0.195,0.164,0.137,0.055,0.08,0.126,0.202
05/17,0.174,0.195,,0.193,0.197,0.165,0.137,0.068,0.088,0.129,0.204
05/18,0.196,0.22,,0.217,0.219,0.186,0.155,0.075,0.103,0.146,0.229
05/19,0.176,0.199,,0.195,0.198,0.167,0.139,0.073,0.1,0.142,0.207
05/20,0.146,0.163,0.06,0.162,0.163,0.138,0.116,0.049,0.081,0.114,0.17
05/21,0.159,0.181,0.07,0.178,0.18,0.151,0.128,0.053,0.094,0.13,0.186
