# Station Code,tfgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,RAPE,SGRN,WGRN
03/01,,,,,,,,,,,0.02
03/02,,,,,,,,,,,0.025
03/03,,,,,,,,,,,0.035
03/04,,,,,,,,,,,0.03
03/05,,,0.08,0.08,0.04,0.06,,,,,0.045
03/06,,,0.07,0.07,0.03,0.05,,,,,0.035
03/07,,,0.09,0.09,0.03,0.05,,,,,0.05
03/08,,,0.055,0.055,0.02,0.02,,,,,0.03
03/09,,,0.04,0.04,0.01,0.02,,,,,0.025
03/10,0.015,0.015,0.06,0.06,0.02,0.03,,,,,0.035
03/11,0.015,0.015,0.075,0.075,0.04,0.04,,,,,0.038
03/12,0.03,0.03,0.13,0.13,0.06,0.06,,,,,0.058
03/13,0.02,0.02,0.09,0.09,0.06,0.05,,,,,0.052
03/14,0.02,0.02,0.08,0.08,0.05,0.03,,,,,0.048
03/15,0.015,0.015,0.077,0.07,0.033,0.04,,,,,0.042
03/16,0.025,0.025,0.084,0.08,0.035,0.04,,,,,0.054
03/17,0.03,0.03,0.092,0.085,0.037,0.04,,,,,0.058
03/18,0.025,0.025,0.096,0.09,0.037,0.042,,,,,0.062
03/19,0.045,0.045,0.106,0.098,0.033,0.04,,,,,0.07
03/20,0.027,0.027,0.098,0.09,0.04,0.042,,,,0.025,0.051
03/21,0.032,0.032,0.106,0.103,0.052,0.045,,,,0.03,0.063
03/22,0.033,0.033,0.096,0.092,0.055,0.042,,,,0.035,0.06
03/23,0.033,0.033,0.1,0.098,0.058,0.045,,,,0.03,0.061
03/24,0.035,0.035,0.104,0.103,0.062,0.043,,,,0.025,0.071
03/25,0.035,0.035,0.086,0.087,0.043,0.037,,,,0.03,0.063
03/26,0.047,0.047,0.109,0.111,0.058,0.047,,,,0.035,0.079
03/27,0.052,0.052,0.11,0.111,0.062,0.05,,,,0.03,0.086
03/28,0.063,0.063,0.141,0.143,0.087,0.068,,,,0.03,0.111
03/29,0.063,0.063,0.124,0.126,0.078,0.06,,,,0.025,0.101
03/30,0.06,0.06,0.101,0.103,0.06,0.047,,,,0.035,0.084
03/31,0.068,0.068,0.114,0.116,0.078,0.053,,,,0.035,0.094
04/01,0.066,0.066,0.127,0.129,0.088,0.065,,,,0.035,0.104
04/02,0.066,0.066,0.116,0.116,0.085,0.058,,,,0.032,0.103
04/03,0.073,0.073,0.121,0.121,0.09,0.063,,,,0.032,0.106
04/04,0.077,0.077,0.134,0.136,0.11,0.075,,,,0.035,0.116
04/05,0.077,0.077,0.129,0.13,0.1,0.07,,,,0.032,0.114
04/06,0.081,0.081,0.137,0.137,0.11,0.072,,,,0.033,0.12
04/07,0.091,0.091,0.14,0.14,0.112,0.077,,,,0.037,0.126
04/08,0.11,0.11,0.157,0.157,0.117,0.08,,,,0.047,0.144
04/09,0.106,0.106,0.154,0.154,0.122,0.085,,,,0.045,0.143
04/10,0.127,0.127,0.186,0.186,0.143,0.106,,,,0.053,0.17
04/11,0.11,0.111,0.156,0.156,0.124,0.09,,,,0.048,0.144
04/12,0.12,0.121,0.166,0.164,0.13,0.097,,,,0.053,0.154
04/13,0.117,0.119,0.157,0.157,0.131,0.096,,,,0.053,0.149
04/14,0.094,0.096,0.123,0.124,0.101,0.076,,,,0.048,0.119
04/15,0.11,0.111,0.143,0.143,0.114,0.086,,,,0.057,0.137
04/16,0.127,0.13,0.166,0.167,0.133,0.103,,,,0.058,0.159
04/17,0.14,0.143,0.171,0.171,0.136,0.107,,,,0.073,0.17
04/18,0.144,0.15,0.173,0.171,0.133,0.109,,,,0.085,0.174
04/19,0.167,0.173,0.199,0.199,0.154,0.126,,,,0.097,0.197
04/20,0.171,0.177,0.201,0.2,0.157,0.129,0.05,,,0.105,0.201
04/21,0.163,0.17,0.186,0.189,0.153,0.126,0.03,,,0.108,0.19
04/22,0.183,0.196,0.211,0.211,0.17,0.14,0.05,,,0.125,0.213
04/23,0.179,0.187,0.203,0.206,0.159,0.134,0.06,,,0.127,0.206
04/24,0.167,0.18,0.193,0.193,0.151,0.126,0.06,,,0.125,0.194
