# Station Code,tlkc
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,CHRY,LAWN,ONYN,PAST,POTA,PPMT,SGRN,WGRN,WGRP
04/10,,,,,,,,,,,,,0.06,
04/11,,,,,,,,,,,,,0.02,
04/12,,,,,,,,,,,,,0.03,
04/13,,,,,,,,,,,,,0.04,
04/14,,,,,,,,,,,,,0.05,
04/15,,,,,,,0.03,,0.06,,,,0.08,
04/16,,,,,,,0.04,,0.06,,,,0.08,
04/17,,,,,,,0.03,,0.04,,,,0.06,
04/18,,,,,,,0.02,,0.03,,,,0.05,
04/19,,,,,,,0.02,,0.03,,,,0.05,
04/20,0.02,0.02,,,,,0.04,,0.04,,,,0.06,
04/21,0.03,0.03,,,,,0.06,,0.06,,,,0.08,
04/22,0.03,0.03,,,,,0.08,,0.06,,,,0.09,
04/23,0.04,0.04,,,,,0.11,,0.08,,,,0.12,
04/24,0.04,0.04,,,,,0.11,,0.08,,,,0.12,
04/25,0.04,0.04,,,,,0.1,,0.07,,,,0.11,
04/26,0.05,0.05,,,,,0.13,,0.09,,,,0.14,
04/27,0.06,0.06,,,,,0.14,,0.09,,,,0.14,
04/28,0.09,0.09,,,,,0.19,,0.13,,,,0.2,
04/29,0.1,0.1,,,,,0.2,,0.13,,,,0.2,
04/30,0.1,0.1,,,,,0.19,,0.12,,,,0.19,
05/01,0.07,0.07,,,,,0.12,,0.07,,,,0.11,
05/02,0.05,0.05,,,,,0.08,,0.05,,,,0.08,
05/03,0.08,0.08,,,,,0.12,,0.08,,,,0.12,
05/04,0.09,0.09,,,,,0.13,,0.09,,,,0.13,
05/05,0.08,0.08,,,,,0.11,,0.07,,,,0.11,0.02
05/06,0.04,0.04,,,,,0.05,,0.04,,,,0.05,0.01
05/07,0.06,0.06,,,,,0.09,,0.06,,,,0.08,0.02
05/08,0.04,0.04,,,,,0.05,,0.03,,,,0.05,0.01
05/09,0.08,0.08,,,,,0.1,,0.07,,,,0.1,0.02
05/10,0.11,0.11,,,,,0.14,0.05,0.1,,,,0.14,0.03
05/11,0.13,0.13,,,,,0.16,0.06,0.12,,,,0.17,0.04
05/12,0.15,0.15,,,,,0.18,0.08,0.13,,,,0.19,0.04
05/13,0.2,0.2,,,,,0.23,0.11,0.18,,,,0.25,0.06
05/14,0.18,0.18,,,,,0.2,0.1,0.16,,,,0.22,0.05
05/15,0.22,0.22,0.06,,,0.06,0.24,0.13,0.19,,,,0.27,0.06
