# Station Code,trti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,RAPE,SGRN,WGRN
03/05,,,,,,0.02,,,,,
03/06,,,,,,0.03,,,,,
03/07,,,,,,0.03,,,,,
03/08,,,,,,0.03,,,,,
03/09,,,,,,0.04,,,,,
03/10,0.02,0.02,,,,0.05,,,,,
03/11,0.03,0.03,,,,0.05,,,,,
03/12,0.02,0.02,,,,0.04,,,,,
03/13,0.02,0.02,,,,0.04,,,,,
03/14,0.04,0.04,,,,0.07,,,,,
03/15,0.045,0.045,,,,0.085,,,,,0.055
03/16,0.035,0.035,,,0.01,0.053,,,,,0.037
03/17,0.045,0.045,,,0.01,0.057,,,,,0.047
03/18,0.03,0.03,,,0.02,0.047,,,,,0.037
03/19,0.035,0.035,,,0.03,0.053,,,,,0.043
03/20,0.043,0.043,,,0.028,0.062,,,0.05,,0.052
03/21,0.04,0.04,,,0.028,0.048,,,0.05,,0.038
03/22,0.033,0.033,,,0.025,0.045,,,0.04,,0.038
03/23,0.05,0.05,,,0.035,0.058,,,0.05,,0.047
03/24,0.037,0.037,,,0.04,0.055,,,0.02,,0.052
03/25,0.043,0.043,,,0.035,0.052,,,0.03,,0.06
03/26,0.048,0.048,,,0.045,0.053,,,0.04,,0.065
03/27,0.048,0.048,,,0.047,0.053,,,0.05,,0.063
03/28,0.072,0.072,,,0.065,0.073,,,0.08,,0.087
03/29,0.06,0.06,,,0.06,0.057,,,0.04,,0.073
03/30,0.065,0.065,,,0.07,0.065,,,0.06,,0.078
03/31,0.087,0.087,,,0.085,0.07,,,0.1,,0.088
04/01,0.047,0.047,0.105,0.105,0.065,0.052,,,0.06,0.04,0.063
04/02,0.052,0.052,0.125,0.125,0.077,0.06,,,0.04,0.03,0.068
04/03,0.055,0.055,0.115,0.115,0.083,0.06,,,0.06,0.04,0.071
04/04,0.063,0.063,0.135,0.135,0.087,0.063,,,0.09,0.05,0.082
04/05,0.067,0.067,0.099,0.099,0.073,0.062,,0.05,0.09,0.035,0.08
04/06,0.072,0.072,0.1,0.1,0.078,0.063,,0.07,0.09,0.025,0.084
04/07,0.083,0.083,0.111,0.111,0.091,0.07,,0.07,0.06,0.03,0.098
04/08,0.108,0.108,0.137,0.137,0.116,0.088,,0.09,0.07,0.03,0.122
04/09,0.117,0.117,0.137,0.137,0.116,0.091,,0.1,0.07,0.035,0.12
04/10,0.08,0.08,0.141,0.141,0.113,0.09,,0.06,0.12,0.045,0.115
04/11,0.088,0.088,0.133,0.133,0.113,0.091,,0.08,0.17,0.05,0.112
04/12,0.083,0.083,0.132,0.132,0.113,0.087,,0.09,0.15,0.04,0.109
04/13,0.096,0.096,0.154,0.154,0.134,0.1,,0.11,0.22,0.05,0.127
04/14,0.084,0.084,0.124,0.124,0.113,0.084,,0.05,0.22,0.055,0.107
04/15,0.089,0.089,0.131,0.131,0.113,0.085,,0.06,0.16,0.035,0.118
04/16,0.104,0.106,0.155,0.155,0.131,0.098,,0.11,0.2,0.045,0.138
04/17,0.12,0.12,0.173,0.173,0.146,0.109,,0.13,0.2,0.05,0.153
04/18,0.133,0.134,0.172,0.172,0.154,0.117,,0.1,0.29,0.07,0.163
04/19,0.132,0.133,0.175,0.175,0.156,0.116,,0.12,0.2,0.062,0.163
04/20,0.133,0.134,0.183,0.183,0.162,0.122,,0.12,0.22,0.07,0.172
04/21,0.126,0.127,0.17,0.17,0.15,0.114,,0.15,0.2,0.06,0.162
04/22,0.156,0.158,0.203,0.203,0.181,0.138,,0.2,0.27,0.083,0.194
04/23,0.121,0.123,0.159,0.159,0.142,0.109,,0.1,0.33,0.088,0.153
04/24,0.109,0.112,0.144,0.144,0.126,0.096,,0.04,0.23,0.077,0.14
04/25,0.106,0.108,0.145,0.145,0.128,0.094,,0.07,0.08,0.052,0.139
04/26,0.124,0.126,0.16,0.16,0.142,0.107,,0.14,0.07,0.062,0.156
04/27,0.141,0.147,0.188,0.188,0.165,0.124,,0.13,0.11,0.066,0.181
04/28,0.151,0.159,0.191,0.191,0.169,0.127,,0.14,0.135,0.075,0.187
