# Station Code,wrdo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:41
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,CHRY,LAWN,ONYN,PAST,POTA,PPMT,SGRN,WGRN,WGRP
02/21,,,,,,,,,,,,,0.03,
02/22,,,,,,,,,,,,,0.04,
02/23,,,,,,,,,,,,,0.04,
02/24,,,,,,,0.02,,0.03,,,,0.04,
02/25,,,,,,,0.02,,0.04,,,,0.05,
02/26,,,,,,,0.01,,0.02,,,,0.03,
02/27,,,,,,,0.01,,0.01,,,,0.02,
02/28,,,,,,,0.02,,0.02,,,,0.03,
03/01,,,,,,,0.02,,0.03,,,,0.04,
03/02,,,,,,,0.02,,0.03,,,,0.05,
03/03,,,,,,,0.02,,0.03,,,,0.04,
03/04,,,,,,,0.02,,0.03,,,,0.04,
03/05,,,,,,,0.02,,0.03,,,,0.05,
03/06,,,,,,,0.03,,0.035,,,,0.06,
03/07,,,,,,,0.04,,0.03,,,,0.06,
03/08,,,,,,,0.04,,0.04,,,,0.07,
03/09,,,,,,,0.05,,0.035,,,,0.07,
03/10,,,,,,,0.04,,0.035,,,,0.07,
03/11,,,,,,,0.02,,0.03,,,,0.03,
03/12,,,,,,,0.04,,0.04,,,,0.06,
03/13,,,,,,,0.07,,0.05,,,,0.09,
03/14,,,,,,,0.06,,0.04,,,,0.07,
03/15,0.02,0.02,,,,,0.11,,0.065,,,,0.085,
03/16,0.04,0.04,,,,,0.02,,0.04,,,,0.033,
03/17,0.02,0.02,,,,,0.04,,0.037,,,,0.04,
03/18,0.02,0.02,,,,,0.05,,0.043,,,,0.05,
03/19,0.03,0.03,,,,,0.05,,0.053,,,,0.057,
03/20,0.02,0.02,,,,,0.033,,0.037,,,,0.042,
03/21,0.025,0.025,,,,,0.04,,0.04,,,,0.05,
03/22,0.025,0.025,,,,,0.042,,0.042,,,,0.052,
03/23,0.03,0.03,,,,,0.037,,0.042,,,,0.044,
03/24,0.045,0.045,,,,,0.043,,0.042,,,,0.052,
03/25,0.023,0.023,,,,,0.037,,0.037,,,,0.048,
03/26,0.02,0.02,,,,,0.04,,0.04,,,,0.057,
03/27,0.027,0.027,,,,,0.053,,0.046,,,,0.067,
03/28,0.033,0.033,,,,,0.055,,0.046,,,,0.065,
03/29,0.033,0.033,,,,,0.057,,0.043,,,,0.068,
03/30,0.04,0.04,,,,,0.067,,0.054,,,,0.075,
